,city,latlng,radius,activityScore
0,Avenel,"40.578996,-74.27986999999997",2767.1822620683665,364
1,Bayonne,"40.666552,-74.11768000000002",5746.623154042347,409
2,Bloomfield,"40.803,-74.18895",4950.582998325825,429
3,Fairfield,"40.879049,-74.29378",5082.5818439405775,370
4,Boonton,"40.912798,-74.41516",2332.1122437645536,240
5,Caldwell,"40.848999,-74.27917",1637.5331768988597,208
6,Carteret,"40.582504,-74.22997",3393.612879965103,331
7,Cedar Grove,"40.855854,-74.22898",3285.915732561344,344
8,Cliffside Park,"40.82154,-73.98949",1802.437881894318,305
9,Clifton,"40.879699,-74.14263000000003",5556.104868291623,422
10,Cranford,"40.656302,-74.30371",3193.2190356253964,383
11,East Orange,"40.770933,-74.20589",3145.156452253667,409
12,Edgewater,"40.830733,-73.97334000000002",3290.376606018115,403
13,Essex Fells,"40.827499,-74.28090999999998",2060.393946571406,201
14,Fairview,"40.816737,-74.00081999999998",1398.3342791653952,260
15,Fanwood,"40.641852,-74.38533000000002",1803.3161851217812,253
16,Fort Lee,"40.849879,-73.97501",2924.6492471004576,390
17,Garfield,"40.879858,-74.10807",2403.45724467231,383
18,Garwood,"40.650802,-74.32351",1277.0475446186229,240
19,Glen Ridge,"40.80495,-74.2047",2672.523646831354,422
20,Harrison,"40.745951,-74.15509",1658.7825720612768,377
21,Hoboken,"40.744851,-74.03294",2049.8345983152108,396
22,North Arlington,"40.791895,-74.13254",2730.186409266771,390
23,Kearny,"40.763051,-74.13718",5676.218134623375,409
24,Kenilworth,"40.674652,-74.2908",2391.895711054546,383
25,Lake Hiawatha,"40.881149,-74.38112",2397.475556565193,299
26,Lincoln Park,"40.923233,-74.29375999999998",4501.346465550748,383
27,Linden,"40.63395300000001,-74.25339",5183.96322715638,403
28,Livingston,"40.788733,-74.32134",5305.056655343696,403
29,Maplewood,"40.728901,-74.26821",3344.009628993516,383
30,Millburn,"40.724168,-74.29913",4527.044192310666,403
31,Montclair,"40.81315,-74.21576",4701.459950249961,422
32,Verona,"40.832449,-74.24226999999998",2668.753131604774,377
33,Montville,"40.906152,-74.36742",7407.968607769428,390
34,Mountain Lakes,"40.892021,-74.44022",2756.617276061939,286
35,North Bergen,"40.7946,-74.01963",4773.384504820667,500
36,Orange,"40.7683,-74.23603",2614.11147982479,377
37,West Orange,"40.78865,-74.25541",5234.231162136696,448
38,Parsippany,"40.860149,-74.4171",9171.05578938648,468
39,Passaic,"40.857384,-74.12899",2911.4177259693643,396
40,Wallington,"40.852931,-74.10925",1594.5218893730516,377
41,Pine Brook,"40.871299,-74.34331",3448.4174973376153,299
42,Warren,"40.63365200000001,-74.5008",7211.067928656839,396
