,City,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latitude,Longitude
0,Absecon,326.1,312.1,268.0,317.9,199.3,217.7,185.8,202.4,231.6,264.8,183.2,153.2,193.6,172.8,39.457516999999996,-74.50914
1,Allendale,37.9,66.9,45.8,77.2,90.5,58.9,45.8,54.7,25.9,40.8,49.8,29.6,34.7,38.5,41.031504999999996,-74.13409
2,Allenhurst,266.8,175.4,212.0,249.3,235.3,213.2,126.5,140.3,446.2,119.9,110.9,136.7,211.9,82.0,40.236916,-74.0069
3,Allentown,35.7,69.4,83.2,72.0,85.3,42.2,74.7,46.2,92.7,60.7,15.5,35.6,20.5,12.7,40.164556,-74.57785
5,Alpine,44.3,19.4,36.4,25.1,23.5,25.1,44.7,41.7,33.7,7.9,37.9,24.0,40.3,119.6,40.952814000000004,-73.93064
6,Andover,57.7,47.6,88.3,52.4,51.6,34.6,25.7,29.3,29.0,30.2,39.1,47.2,23.3,18.9,40.966308000000005,-74.74298
7,Asbury Park,878.0,985.6,877.9,805.8,897.9,956.9,884.8,724.6,775.5,623.0,640.6,613.1,626.9,517.3,40.232713000000004,-74.03143
8,Atlantic City,1064.6,1093.2,969.4,822.5,914.4,942.1,912.2,864.2,755.1,666.6,750.8,,593.1,368.6,39.364965999999995,-74.43903
9,Atlantic Highlands,96.7,77.1,92.1,108.5,133.4,100.2,116.1,115.9,84.1,98.0,75.4,50.7,42.7,43.2,40.407958,-74.03483
10,Audubon,143.5,156.3,162.5,178.7,182.0,149.4,182.4,221.9,225.3,212.2,198.3,196.1,164.0,150.3,39.892213,-75.07212
12,Avalon,459.7,722.7,697.5,549.5,572.1,694.8,983.6,743.2,793.0,743.9,642.1,724.3,669.3,490.5,39.092928,-74.72688000000001
14,Barnegat Light,204.4,178.6,73.6,71.4,88.7,68.7,85.1,82.8,230.1,58.8,613.4,27.8,33.8,87.9,39.75196,-74.11074
15,Barrington,91.3,88.0,81.5,80.1,106.4,76.4,76.5,76.3,85.2,89.4,89.1,108.3,103.7,91.9,39.868013,-75.05424000000001
17,Bayonne,178.0,158.9,170.0,189.5,165.6,149.0,137.1,117.1,113.1,114.1,129.9,118.8,116.6,107.9,40.666552,-74.11768000000001
18,Beach Haven,466.9,518.1,429.4,441.6,371.8,464.6,650.8,571.3,434.6,382.9,315.6,321.9,473.3,414.9,39.614596,-74.2005
19,Beachwood,118.2,121.6,138.7,124.1,131.8,138.8,113.8,103.1,104.1,77.4,64.1,73.5,81.1,72.4,39.931067999999996,-74.19618
20,Belleville,248.7,231.7,217.5,224.2,187.6,175.1,245.0,183.7,203.9,215.1,184.3,131.6,147.1,123.0,40.7935,-74.16144
21,Bellmawr,136.1,144.2,192.6,194.2,126.4,171.5,192.7,166.8,139.3,112.0,171.0,149.3,126.8,81.2,39.867013,-75.09161999999999
22,Belmar,418.3,374.2,325.3,384.5,368.0,364.2,356.6,274.3,263.5,234.7,255.8,205.5,179.5,126.4,40.302718,-74.24928
23,Belvidere,46.6,45.7,20.5,50.4,37.4,51.2,78.8,73.0,74.1,50.3,35.4,204.4,137.5,104.2,40.82383,-75.04585
24,Bergenfield,54.1,64.4,66.7,72.7,51.1,49.6,46.8,39.7,31.6,30.2,27.4,29.7,25.8,13.9,40.923747999999996,-73.99879
25,Berkeley Heights,26.4,35.8,32.8,37.3,38.2,36.8,26.8,39.2,30.9,,21.1,36.3,30.0,33.3,40.675112,-74.43459
26,Berlin,135.4,154.8,128.3,153.9,140.3,147.4,154.5,148.8,152.4,116.8,78.0,136.3,114.5,125.4,39.779582,-74.9365
27,Bernardsville,47.4,51.1,31.6,31.3,21.0,26.8,50.4,18.9,33.9,33.7,23.7,42.2,30.3,24.0,40.723440000000004,-74.57753000000001
28,Beverly,263.5,358.5,247.1,344.2,298.9,210.5,207.3,226.6,258.7,322.4,273.4,385.5,248.2,177.8,40.058211,-74.91404
29,Blairstown,30.9,72.9,50.4,112.1,102.7,53.3,59.5,54.9,41.1,48.7,27.1,28.3,32.1,40.1,40.96035,-74.96243
30,Bloomfield,269.6,232.0,223.2,204.5,187.6,197.1,192.5,195.8,201.5,180.4,132.4,113.1,104.4,93.8,40.803000000000004,-74.18895
31,Bloomingdale,35.5,52.0,38.2,79.2,64.6,51.2,91.4,45.0,32.4,39.9,64.5,45.7,30.7,23.1,41.014497,-74.33021
32,Bogota,78.0,63.5,70.1,89.1,92.4,86.1,87.2,44.0,43.2,29.7,64.1,29.2,29.7,52.5,40.873876,-74.02769
33,Boonton,77.1,53.3,44.7,71.4,123.7,79.9,88.0,77.1,86.0,53.6,89.8,68.0,58.1,78.3,40.912797999999995,-74.41516
34,Bordentown,133.1,74.1,84.1,102.5,90.0,105.7,53.3,65.1,51.9,18.7,42.4,28.7,61.7,55.7,40.132784,-74.71778
35,Bound Brook,194.2,194.8,166.1,173.9,172.3,165.9,190.6,143.7,140.0,138.0,113.6,90.6,130.5,101.3,40.567953,-74.54034
36,Bradley Beach,288.7,219.4,204.3,240.4,191.4,187.3,215.7,185.8,169.1,198.6,138.0,114.3,92.3,72.6,40.202113,-74.01353
37,Bridgeton,638.5,640.9,670.4,594.2,475.3,551.0,550.9,571.0,616.7,526.7,558.6,475.6,561.3,422.7,39.445164,-75.24215
38,Brielle,77.0,86.6,112.6,62.6,69.9,60.1,60.3,62.5,49.9,31.7,52.8,20.4,23.8,26.3,40.108433000000005,-74.06226
39,Brigantine,113.9,98.1,95.8,88.7,101.8,120.7,136.9,,103.1,160.6,113.7,90.5,62.4,68.5,39.401801,-74.38016999999999
41,Buena,366.1,289.0,400.8,244.3,188.7,225.8,204.6,217.8,172.4,143.4,181.8,236.5,293.1,100.1,39.522686,-74.89684
42,Burlington,226.9,296.8,278.1,278.8,226.2,265.0,258.5,234.6,341.0,226.6,227.9,284.4,269.7,219.2,40.06834,-74.84463000000001
43,Butler,92.6,122.9,140.2,91.9,93.2,131.3,94.1,116.4,81.3,89.2,79.7,89.1,51.3,31.4,40.99313,-74.35893
44,Caldwell,50.8,44.7,30.0,25.8,71.3,56.2,63.1,98.1,72.6,67.5,35.4,44.7,106.2,59.0,40.848999,-74.27917
46,Camden,917.2,983.0,1024.7,1114.6,967.6,937.0,1151.8,1107.6,,,,,,,39.80237,-74.938259
47,Cape May,256.5,363.5,263.4,266.2,243.8,234.9,279.6,246.0,212.1,217.7,202.4,270.9,118.9,132.8,38.963652,-74.92319
48,Cape May Point,366.7,542.4,214.0,376.7,556.6,343.9,229.5,96.6,230.8,109.2,70.9,0.0,125.4,39.7,38.936896000000004,-74.96526
49,Carlstadt,194.8,144.8,229.3,199.5,161.5,201.3,155.2,164.7,133.7,112.4,96.9,166.0,143.4,82.4,40.836555,-74.08466
50,Carteret,177.8,184.6,152.9,136.7,118.8,144.2,178.4,147.3,136.7,121.2,105.2,114.9,119.5,119.2,40.582504,-74.22997
51,Cedar Grove,93.5,84.7,74.7,96.0,64.8,78.0,69.7,40.4,43.2,31.4,43.0,45.4,48.5,41.3,40.855854,-74.22898
52,Chatham,58.7,76.7,33.9,35.7,66.4,40.4,44.2,37.3,37.1,42.7,25.4,30.8,29.4,21.3,40.7332,-74.39735999999999
54,Chester,54.2,81.0,77.3,108.3,140.9,77.6,99.2,67.8,123.6,54.7,41.7,47.3,61.9,14.6,40.786549,-74.68799
55,Clark,69.8,79.7,80.8,56.8,43.1,66.9,63.9,65.1,61.8,41.0,43.1,53.0,66.5,65.7,40.620336,-74.30934
56,Clayton,252.7,174.7,185.0,175.5,146.6,146.1,120.3,142.1,143.4,108.1,97.8,116.7,138.0,70.8,39.655964000000004,-75.08736
57,Clementon,455.6,373.9,275.3,423.6,447.3,325.2,411.8,378.2,326.8,231.2,293.2,266.0,266.6,208.5,39.810485,-74.99574
58,Cliffside Park,73.9,63.5,75.7,69.0,85.4,78.3,76.7,77.7,106.1,81.2,77.1,57.8,59.4,53.6,40.82154,-73.98949
59,Clifton,184.7,181.9,194.5,200.5,178.2,,172.2,156.0,145.4,137.4,146.0,134.2,132.3,105.2,40.879699,-74.14263000000001
