,City,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latitude,Longitude
0,Absecon,0.0,0.0,100.0,0.0,200.0,200.0,200.0,200.0,200.0,100.0,200.0,300.0,200.0,300.0,39.457516999999996,-74.50914
1,Allendale,500.0,400.0,500.0,400.0,400.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,41.031504999999996,-74.13409
2,Allenhurst,100.0,300.0,200.0,100.0,200.0,200.0,300.0,300.0,0.0,400.0,400.0,300.0,200.0,400.0,40.236916,-74.0069
3,Allentown,500.0,400.0,400.0,400.0,400.0,500.0,400.0,500.0,400.0,500.0,500.0,500.0,500.0,500.0,40.164556,-74.57785
5,Alpine,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,400.0,40.952814000000004,-73.93064
6,Andover,500.0,500.0,400.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,40.966308000000005,-74.74298
7,Asbury Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.232713000000004,-74.03143
8,Atlantic City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,39.364965999999995,-74.43903
9,Atlantic Highlands,400.0,400.0,400.0,400.0,300.0,400.0,400.0,400.0,400.0,400.0,400.0,500.0,500.0,500.0,40.407958,-74.03483
10,Audubon,300.0,300.0,300.0,300.0,200.0,300.0,200.0,200.0,200.0,200.0,200.0,200.0,300.0,300.0,39.892213,-75.07212
12,Avalon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.092928,-74.72688000000001
14,Barnegat Light,200.0,300.0,400.0,400.0,400.0,400.0,400.0,400.0,200.0,500.0,0.0,500.0,500.0,400.0,39.75196,-74.11074
15,Barrington,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,39.868013,-75.05424000000001
17,Bayonne,300.0,300.0,300.0,200.0,300.0,300.0,300.0,400.0,400.0,400.0,300.0,400.0,400.0,400.0,40.666552,-74.11768000000001
18,Beach Haven,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.614596,-74.2005
19,Beachwood,400.0,300.0,300.0,300.0,300.0,300.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,39.931067999999996,-74.19618
20,Belleville,100.0,200.0,200.0,200.0,200.0,300.0,100.0,200.0,200.0,200.0,200.0,300.0,300.0,300.0,40.7935,-74.16144
21,Bellmawr,300.0,300.0,200.0,200.0,300.0,300.0,200.0,300.0,300.0,400.0,300.0,300.0,300.0,400.0,39.867013,-75.09161999999999
22,Belmar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,200.0,100.0,200.0,300.0,300.0,40.302718,-74.24928
23,Belvidere,500.0,500.0,500.0,500.0,500.0,500.0,400.0,400.0,400.0,500.0,500.0,200.0,300.0,400.0,40.82383,-75.04585
24,Bergenfield,500.0,400.0,400.0,400.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,40.923747999999996,-73.99879
25,Berkeley Heights,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,40.675112,-74.43459
26,Berlin,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,400.0,400.0,300.0,400.0,300.0,39.779582,-74.9365
27,Bernardsville,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,40.723440000000004,-74.57753000000001
28,Beverly,100.0,0.0,100.0,0.0,100.0,200.0,200.0,200.0,100.0,0.0,100.0,0.0,100.0,300.0,40.058211,-74.91404
29,Blairstown,500.0,400.0,500.0,400.0,400.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,40.96035,-74.96243
30,Bloomfield,100.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,300.0,300.0,400.0,400.0,400.0,40.803000000000004,-74.18895
31,Bloomingdale,500.0,500.0,500.0,400.0,400.0,500.0,400.0,500.0,500.0,500.0,400.0,500.0,500.0,500.0,41.014497,-74.33021
32,Bogota,400.0,400.0,400.0,400.0,400.0,400.0,400.0,500.0,500.0,500.0,400.0,500.0,500.0,500.0,40.873876,-74.02769
33,Boonton,400.0,500.0,500.0,400.0,300.0,400.0,400.0,400.0,400.0,500.0,400.0,400.0,500.0,400.0,40.912797999999995,-74.41516
34,Bordentown,300.0,400.0,400.0,400.0,400.0,400.0,500.0,400.0,500.0,500.0,500.0,500.0,400.0,500.0,40.132784,-74.71778
35,Bound Brook,200.0,200.0,300.0,300.0,300.0,300.0,200.0,300.0,300.0,300.0,400.0,400.0,300.0,400.0,40.567953,-74.54034
36,Bradley Beach,100.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,300.0,200.0,300.0,400.0,400.0,400.0,40.202113,-74.01353
37,Bridgeton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.445164,-75.24215
38,Brielle,400.0,400.0,400.0,400.0,400.0,500.0,500.0,400.0,500.0,500.0,500.0,500.0,500.0,500.0,40.108433000000005,-74.06226
39,Brigantine,400.0,400.0,400.0,400.0,400.0,400.0,300.0,500.0,400.0,300.0,400.0,400.0,400.0,400.0,39.401801,-74.38016999999999
41,Buena,0.0,100.0,0.0,100.0,200.0,200.0,200.0,200.0,300.0,300.0,200.0,200.0,100.0,400.0,39.522686,-74.89684
42,Burlington,200.0,100.0,100.0,100.0,200.0,100.0,100.0,200.0,0.0,200.0,200.0,100.0,100.0,200.0,40.06834,-74.84463000000001
43,Butler,400.0,300.0,300.0,400.0,400.0,300.0,400.0,400.0,400.0,400.0,400.0,400.0,500.0,500.0,40.99313,-74.35893
44,Caldwell,500.0,500.0,500.0,500.0,400.0,500.0,400.0,400.0,400.0,400.0,500.0,500.0,400.0,500.0,40.848999,-74.27917
46,Camden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,500.0,500.0,500.0,500.0,39.80237,-74.938259
47,Cape May,100.0,0.0,100.0,100.0,100.0,200.0,100.0,100.0,200.0,200.0,200.0,100.0,400.0,300.0,38.963652,-74.92319
48,Cape May Point,0.0,0.0,200.0,0.0,0.0,0.0,200.0,400.0,200.0,400.0,400.0,500.0,300.0,500.0,38.936896000000004,-74.96526
49,Carlstadt,200.0,300.0,200.0,200.0,300.0,200.0,300.0,300.0,300.0,400.0,400.0,300.0,300.0,400.0,40.836555,-74.08466
