,City,Municipality ID,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latitude,Longitude
0,Absecon,101,0,0,100,0,200,200,200,200,200,100,200,300,200,300,39.457517,-74.50914
1,Allendale,101,500,400,500,400,400,500,500,500,500,500,500,500,500,500,41.031505,-74.13409
2,Allenhurst,101,100,300,200,100,200,200,300,300,0,400,400,300,200,400,40.236916,-74.0069
3,Allentown,101,500,400,400,400,400,500,400,500,400,500,500,500,500,500,40.164556,-74.57785
5,Alpine,101,500,500,500,500,500,500,500,500,500,500,500,500,500,400,40.952814,-73.93064
6,Andover,101,500,500,400,500,500,500,500,500,500,500,500,500,500,500,40.966308,-74.74298
7,Asbury Park,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.232713,-74.03143
8,Atlantic City,102,0,0,0,0,0,0,0,0,0,0,0,500,0,0,39.364966,-74.43903
9,Atlantic Highlands,102,400,400,400,400,300,400,400,400,400,400,400,500,500,500,40.407958,-74.03483
10,Audubon,102,300,300,300,300,200,300,200,200,200,200,200,200,300,300,39.892213,-75.07212
12,Avalon,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.092928,-74.72688
14,Barnegat Light,102,200,300,400,400,400,400,400,400,200,500,0,500,500,400,39.75196,-74.11074
15,Barrington,102,400,400,400,400,400,400,400,400,400,400,400,400,400,400,39.868013,-75.05424
17,Bayonne,102,300,300,300,200,300,300,300,400,400,400,300,400,400,400,40.666552,-74.11768
18,Beach Haven,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.614596,-74.2005
19,Beachwood,102,400,300,300,300,300,300,400,400,400,400,400,400,400,400,39.931068,-74.19618
20,Belleville,102,100,200,200,200,200,300,100,200,200,200,200,300,300,300,40.7935,-74.16144
21,Bellmawr,102,300,300,200,200,300,300,200,300,300,400,300,300,300,400,39.867013,-75.09162
22,Belmar,102,0,0,0,0,0,0,0,100,100,200,100,200,300,300,40.302718,-74.24928
23,Belvidere,102,500,500,500,500,500,500,400,400,400,500,500,200,300,400,40.82383,-75.04585
24,Bergenfield,102,500,400,400,400,500,500,500,500,500,500,500,500,500,500,40.923748,-73.99879
25,Berkeley Heights,102,500,500,500,500,500,500,500,500,500,500,500,500,500,500,40.675112,-74.43459
26,Berlin,102,300,300,300,300,300,300,300,300,300,400,400,300,400,300,39.779582,-74.9365
27,Bernardsville,102,500,500,500,500,500,500,500,500,500,500,500,500,500,500,40.72344,-74.57753
28,Beverly,102,100,0,100,0,100,200,200,200,100,0,100,0,100,300,40.058211,-74.91404
29,Blairstown,102,500,400,500,400,400,500,500,500,500,500,500,500,500,500,40.96035,-74.96243
30,Bloomfield,102,100,200,200,200,200,200,200,200,200,300,300,400,400,400,40.803,-74.18895
31,Bloomingdale,102,500,500,500,400,400,500,400,500,500,500,400,500,500,500,41.014497,-74.33021
32,Bogota,102,400,400,400,400,400,400,400,500,500,500,400,500,500,500,40.873876,-74.02769
33,Boonton,102,400,500,500,400,300,400,400,400,400,500,400,400,500,400,40.912798,-74.41516
34,Bordentown,102,300,400,400,400,400,400,500,400,500,500,500,500,400,500,40.132784,-74.71778
35,Bound Brook,102,200,200,300,300,300,300,200,300,300,300,400,400,300,400,40.567953,-74.54034
36,Bradley Beach,102,100,200,200,200,200,200,200,200,300,200,300,400,400,400,40.202113,-74.01353
37,Bridgeton,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.445164,-75.24215
38,Brielle,102,400,400,400,400,400,500,500,400,500,500,500,500,500,500,40.108433,-74.06226
39,Brigantine,103,400,400,400,400,400,400,300,500,400,300,400,400,400,400,39.401801,-74.38017
41,Buena,407,0,100,0,100,200,200,200,200,300,300,200,200,100,400,39.522686,-74.89684
