City,Zip Code,County,Latitude,Longitude,,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017,respop72018
,,,,,,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017,Population Estimate (as of July 1) - 2018
Absecon,8201,Atlantic,39.457517,-74.50914,,8411,8502,8500,8491,8467,8441,8378,8292,8200,8173,8442
Allendale,7401,Bergen,41.031505,-74.13409,,6505,6505,6515,6585,6626,6687,6713,6738,6779,6799,6792
Asbury Park,7712,Monmouth,40.232713,-74.03143,,16116,16114,16118,16004,15930,15906,15829,15713,15678,15667,15511
Atlantic City,8401,Atlantic,39.364966,-74.43903,,39558,39558,39541,39489,39396,39470,39184,38726,38294,37919,37804
Audubon,8106,Camden,39.892213,-75.07212,,8819,8819,8812,8794,8766,8717,8685,8675,8673,8656,8659
Barnegat,8005,Ocean,39.759581,-74.27398,,574,586,586,583,583,580,583,586,582,585,588
Barrington,8007,Camden,39.868013,-75.05424,,6983,6961,6954,6906,6861,6806,6775,6755,6745,6716,6683
Bayonne,7002,Hudson,40.666552,-74.11768,,63024,63015,63052,63946,64263,64754,65397,65317,65351,65347,65083
Beach Haven,8008,Ocean,39.614596,-74.2005,,11045,11042,11052,11056,11022,11086,11172,11180,11168,11201,11270
Bellmawr,8031,Camden,39.867013,-75.09162,,11583,11604,11602,11585,11549,11482,11433,11411,11415,11395,11374
Belmar,7715,Monmouth,40.302718,-74.24928,,5794,5786,5791,5766,5746,5720,5683,5666,5666,5645,5587
Bergenfield,7621,Bergen,40.923748,-73.99879,,26764,26821,26850,27019,27180,27255,27290,27336,27327,27469,27479
Berlin,8009,Camden,39.779582,-74.9365,,7588,7598,7638,7640,7638,7599,7573,7553,7558,7548,7554
Bernardsville,7924,Somerset,40.72344,-74.57753,,7707,7726,7735,7740,7741,7727,7715,7703,7712,7697,7686
Bloomingdale,7403,Passaic,41.014497,-74.33021,,7656,7662,7666,7704,7698,7699,8126,8121,8105,8090,8072
Bogota,7603,Bergen,40.873876,-74.02769,,8187,8178,8188,8236,8231,8254,8266,8287,8408,8427,8413
Boonton,7005,Morris,40.912798,-74.41516,,8347,8338,8348,8377,8393,8380,8352,8344,8308,8261,8212
Bordentown,8505,Burlington,40.132784,-74.71778,,3924,3917,3921,3911,3913,3890,3881,3852,3831,3813,3801
Bound Brook,8805,Somerset,40.567953,-74.54034,,10402,10421,10433,10459,10477,10464,10426,10375,10333,10312,10289
Bridgeton,8302,Cumberland,39.445164,-75.24215,,25349,25414,25353,25276,25259,25197,25294,25025,24905,24564,24442
Brigantine,8203,Atlantic,39.401801,-74.38017,,9450,9450,9446,9421,9399,9333,9199,9076,8937,8842,8765
Buena,8310,Atlantic,39.522686,-74.89684,,4603,4603,4604,4589,4576,4548,4510,4471,4407,4371,4347
Burlington,8016,Burlington,40.06834,-74.84463,,9920,9937,9941,9918,9912,9860,9822,9767,9822,9782,9884
Butler,7405,Morris,40.99313,-74.35893,,7539,7650,7665,7705,7713,7726,7732,7731,7706,7684,7650
Caldwell,7006,Essex,40.848999,-74.27917,,7822,7894,7896,7937,7921,7925,7937,7959,7982,7976,7970
Camden,8101,Camden,39.80237,-74.938259,,77344,77043,76982,77218,76883,76462,75856,75371,73974,73893,73973
Cape May,8204,Cape May,38.963652,-74.92319,,3607,3617,3613,3587,3573,3547,3528,3506,3490,3477,3448
Carlstadt,7072,Bergen,40.836555,-74.08466,,6127,6125,6127,6161,6174,6188,6188,6199,6181,6214,6191
Carteret,7008,Middlesex,40.582504,-74.22997,,22844,22853,22864,23597,23719,23716,23746,23733,23664,23646,23652
Chester,7930,Morris,40.786549,-74.68799,,1649,1649,1650,1659,1660,1662,1661,1656,1653,1649,1644
Clayton,8312,Gloucester,39.655964,-75.08736,,8179,8185,8187,8204,8207,8208,8343,8467,8571,8641,8686
Cliffside Park,7010,Bergen,40.82154,-73.98949,,23594,23620,23672,23809,24378,24451,24479,24573,24622,24752,25935
Clifton,7011,Passaic,40.879699,-74.14263,,84136,84117,84172,84692,84709,84923,85177,85232,85141,85144,85273
Clinton,8809,Hunterdon,40.639546,-74.91292,,2719,2719,2717,2701,2685,2680,2669,2654,2697,2691,2683
Closter,7624,Bergen,40.971956,-73.96166,,8373,8415,8425,8477,8548,8584,8593,8597,8610,8629,8582
Collingswood,8108,Camden,39.915263,-75.06401,,13926,13939,13931,13898,13865,13855,13801,13917,13924,13904,13916
