City,Zip Code,County,Latitude,Longitude,Municipality,Muni Code,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,
Absecon,08201,Atlantic,39.457517,-74.50914,Absecon,0101,3.013,3.08,3.152,3.288,3.347,3.381,3.498,3.618,3.694,3.778,3.817,1.839,1.9,1.96,2.044,2.07,3.043,3.092,3.135,3.176,3.268,3.292,3.278,,1.2%
Atlantic City,08401,Atlantic,39.364966,-74.43903,Atlantic City,0102,2.949,2.88,2.957,3.09,3.095,3.387,3.369,3.421,3.502,3.696,3.726,1.666,1.713,1.809,1.947,2.164,2.542,3.348,3.422,3.86,3.421,3.533,3.984,,3.8%
Brigantine,08203,Atlantic,39.401801,-74.38017,Brigantine,0103,2.745,2.45,2.577,2.59,2.668,2.709,2.85,3.074,3.365,0.909,0.95,0.987,1.032,1.091,1.159,1.203,1.308,1.707,1.773,1.764,1.765,1.737,1.703,,0.0%
Buena,08310,Atlantic,39.522686,-74.89684,Buena Borough,0104,2.799,2.76,2.837,2.872,3.017,3.123,3.249,3.425,3.773,4.129,2.267,2.329,2.299,2.335,2.405,2.531,2.7,2.679,2.75,2.862,3.031,3.107,3.111,,3.2%
Cologne,08213,Atlantic,39.509208,-74.608557,Galloway Township,0111,2.641,2.68,2.688,2.737,2.782,2.84,2.977,3.086,3.239,3.369,3.42,3.517,1.895,1.969,2.019,2.054,2.205,2.941,3.041,3.056,3.083,3.083,3.04,,0.7%
Dorothy,08317,Atlantic,39.406518,-74.82706,Weymouth Township,0123,1.976,1.98,2.083,2.109,2.114,2.166,2.18,2.073,2.435,2.695,2.756,2.828,3.025,3.229,3.315,3.352,3.527,3.593,2.267,2.369,2.475,2.462,2.497,,-6.1%
Egg Harbor City,08215,Atlantic,39.548049,-74.62171,Egg Harbor City,0107,4.169,4.16,4.099,4.164,4.317,4.507,4.727,4.751,5.183,2.309,2.479,2.599,2.621,2.716,2.98,3.961,4.128,4.178,4.276,4.533,4.666,5.264,5.255,,5.2%
Egg Harbor Township,08234,Atlantic,39.398172,-74.59667,Egg Harbor Township,0108,2.237,2.24,2.367,2.371,2.435,2.691,2.961,3.184,3.245,3.359,3.579,3.724,3.81,3.98,4.101,4.228,2.813,2.904,2.963,3.007,3.131,3.142,3.211,,2.1%
Elwood,08217,Atlantic,39.575273,-74.72103,Mullica Township,0117,2.6,2.53,2.532,2.53,2.588,2.703,3.107,3.157,3.273,3.555,3.616,3.694,3.838,3.947,3.969,3.919,4.089,4.149,4.197,4.417,4.694,4.698,3.127,,-4.9%
Estell Manor,08319,Atlantic,39.376099,-74.81456,Estell Manor,0109,2.143,2.08,2.232,2.342,2.287,2.265,2.083,2.276,2.408,2.487,2.495,2.435,2.524,2.892,2.835,2.859,2.987,2.294,2.365,2.395,2.416,2.421,2.546,,2.2%
Hammonton,08037,Atlantic,39.625291,-74.77705,Hammonton,0113,2.524,2.58,2.63,2.663,2.733,2.858,3,3.131,3.223,3.328,3.307,3.317,3.358,3.365,3.463,3.481,3.649,3.709,2.486,2.561,2.658,2.696,2.709,,-5.4%
Landisville,08326,Atlantic,39.524179,-74.9385,Buena Borough,0104,2.799,2.76,2.837,2.872,3.017,3.123,3.249,3.425,3.773,4.129,2.267,2.329,2.299,2.335,2.405,2.531,2.7,2.679,2.75,2.862,3.031,3.107,3.111,,3.2%
Leeds Point,08220,Atlantic,39.509208,-74.608557,Galloway Township,0111,2.641,2.68,2.688,2.737,2.782,2.84,2.977,3.086,3.239,3.369,3.42,3.517,1.895,1.969,2.019,2.054,2.205,2.941,3.041,3.056,3.083,3.083,3.04,,0.7%
Linwood,08221,Atlantic,39.348616,-74.57387,Linwood,0114,2.862,2.93,3.064,3.162,3.209,3.336,2.768,2.961,3.03,3.187,3.244,3.362,3.449,3.652,3.784,3.777,3.973,3.1,3.225,3.222,3.334,3.402,3.48,,2.5%
Longport,08403,Atlantic,39.314766,-74.52675,Longport Borough,0115,1.228,1.23,1.252,1.252,1.317,0.932,1.071,1.136,0.67,0.7,0.695,0.722,0.78,0.867,0.923,0.772,0.897,0.898,0.906,0.926,0.964,0.984,0.984,,1.9%
Margate City,08402,Atlantic,39.329416,-74.50661,Margate City,0116,1.864,1.89,1.948,2.052,2.159,2.246,2.334,2.506,1.124,1.204,1.18,1.21,1.247,1.278,1.334,1.373,1.464,1.46,1.488,1.512,1.565,1.563,1.542,,1.1%
Mays Landing,08330,Atlantic,39.478771,-74.7581,Hamilton Township,0112,2.866,2.74,2.669,2.656,2.71,2.809,3.075,3.171,3.355,3.593,3.738,3.797,3.973,4.149,2.363,2.355,2.527,2.627,2.877,2.979,3.065,3.114,3.277,,4.9%
Milmay,08340,Atlantic,39.437265,-74.87926,Buena Vista Township,0105,2.373,2.36,2.431,2.541,2.72,2.831,2.942,3.238,3.626,4.054,4.026,4.095,4.273,1.866,1.972,2.033,2.216,2.31,2.32,2.37,2.456,2.479,2.503,,1.7%
Minotola,08341,Atlantic,39.517539,-74.94972,Buena Borough,0104,2.799,2.76,2.837,2.872,3.017,3.123,3.249,3.425,3.773,4.129,2.267,2.329,2.299,2.335,2.405,2.531,2.7,2.679,2.75,2.862,3.031,3.107,3.111,,3.2%
Mizpah,08342,Atlantic,39.50208,-74.833469,Hamilton Township,0112,2.866,2.74,2.669,2.656,2.71,2.809,3.075,3.171,3.355,3.593,3.738,3.797,3.973,4.149,2.363,2.355,2.527,2.627,2.877,2.979,3.065,3.114,3.277,,4.9%
Newtonville,08346,Atlantic,39.562719,-74.85853,Buena Vista Township,0105,2.373,2.36,2.431,2.541,2.72,2.831,2.942,3.238,3.626,4.054,4.026,4.095,4.273,1.866,1.972,2.033,2.216,2.31,2.32,2.37,2.456,2.479,2.503,,1.7%
Northfield,08225,Atlantic,39.370083,-74.55211,Northfield,0118,2.993,2.96,3.03,3.079,3.134,3.256,3.319,3.515,3.644,3.885,4.088,4.239,4.428,2.57,2.658,2.676,2.814,2.898,3.065,3.108,3.237,3.348,3.409,,3.5%
Oceanville,08231,Atlantic,39.509208,-74.608557,Galloway Township,0111,2.641,2.68,2.688,2.737,2.782,2.84,2.977,3.086,3.239,3.369,3.42,3.517,1.895,1.969,2.019,2.054,2.205,2.941,3.041,3.056,3.083,3.083,3.04,,0.7%
Pleasantville,08232,Atlantic,39.394616,-74.52212,Pleasantville,0119,3.287,3.31,3.357,3.448,3.608,3.622,3.751,3.804,4.166,4.262,4.466,4.629,4.806,2.783,2.98,3.03,3.322,3.523,3.826,3.995,4.409,4.673,4.824,,7.4%
Pomona,08240,Atlantic,39.487717,-74.554334,Galloway Township,0111,2.641,2.68,2.688,2.737,2.782,2.84,2.977,3.086,3.239,3.369,3.42,3.517,1.895,1.969,2.019,2.054,2.205,2.941,3.041,3.056,3.083,3.083,3.04,,0.7%
Port Republic,08241,Atlantic,39.527903,-74.4917,Port Republic,0120,2.468,2.46,2.465,2.442,2.488,2.435,2.525,2.651,2.815,2.969,3.075,3.122,3.157,3.188,3.269,3.301,3.481,3.622,3.705,3.717,2.636,2.68,2.681,,-5.2%
Richland,08350,Atlantic,39.490774,-74.87045,Buena Vista Township,0105,2.373,2.36,2.431,2.541,2.72,2.831,2.942,3.238,3.626,4.054,4.026,4.095,4.273,1.866,1.972,2.033,2.216,2.31,2.32,2.37,2.456,2.479,2.503,,1.7%
Somers Point,08244,Atlantic,39.319901,-74.5999,Somers Point,0121,3.597,2.82,2.792,2.887,2.999,3.032,3.139,3.147,3.358,3.686,3.841,3.906,4.01,4.155,4.315,4.293,4.65,2.7,2.793,2.823,2.957,3.067,3.133,,3.2%
Ventnor City,08406,Atlantic,39.342299,-74.48192,Ventnor City,0122,2.441,2.55,2.703,2.851,3.059,3.182,2.357,2.534,2.766,1.421,1.59,1.616,1.669,1.727,1.833,1.88,1.989,2.059,2.165,2.186,2.648,2.634,2.585,,5.1%
Allendale,07401,Bergen,41.031505,-74.13409,Allendale Borough,0201,2.39,2.46,2.6,2.71,2.83,1.81,1.91,2.05,2.18,2.36,2.45,2.546,2.618,2.642,2.672,2.311,2.357,2.383,2.245,2.291,2.288,2.297,2.349,,-0.3%
Alpine,07620,Bergen,40.952814,-73.93064,Alpine Borough,0202,0.93,0.96,1,1.03,1.05,1.13,1.13,1.18,0.55,0.58,0.61,0.625,0.67,0.67,0.705,0.705,0.724,0.741,0.77,0.768,0.801,0.776,0.779,,1.0%
Bergenfield,07621,Bergen,40.923748,-73.99879,Bergenfield Borough,0203,3.46,3.66,3.61,3.79,3.95,4.13,4.41,4.56,2.57,2.75,2.92,2.99,2.808,2.867,2.931,2.97,3.031,3.065,3.122,3.171,3.222,3.238,3.262,,1.3%
Bogota,07603,Bergen,40.873876,-74.02769,Bogota Borough,0204,3.52,3.54,3.56,3.64,3.83,3.09,3.09,3.29,3.29,3.4,3.73,4.024,2.421,2.549,2.574,2.691,3.531,3.63,3.729,3.773,3.8,3.92,4.018,,2.1%
Carlstadt,07072,Bergen,40.836555,-74.08466,Carlstadt Borough,0205,1.84,1.93,2.09,2.18,2.23,2.28,2.37,2.55,2.78,3.06,3.3,3.505,3.828,4.001,4.015,4.145,1.982,1.991,2.07,2.126,1.906,1.922,1.835,,-1.6%
Cliffside Park,07010,Bergen,40.82154,-73.98949,Cliffside Park Borough,0206,2.28,2.37,2.46,2.54,2.61,2.74,2.89,1.74,1.86,1.98,2.04,2.114,2.203,2.282,2.095,2.138,2.181,2.212,2.275,2.345,2.392,2.438,2.442,,2.1%
Closter,07624,Bergen,40.971956,-73.96166,Closter Borough,0207,2.7,2.72,2.87,2.12,2.23,2.39,2.55,2.66,2.79,1.49,1.57,1.643,1.971,2.013,2.046,2.084,2.102,2.129,2.19,2.239,2.282,2.226,2.217,,0.8%
Cresskill,07626,Bergen,40.942074,-73.96504,Cresskill Borough,0208,2.57,2.65,2.77,2.77,2.84,3.03,3.18,1.65,1.79,1.87,1.99,2.101,2.214,2.3,2.348,2.324,2.413,2.482,2.559,2.641,2.722,2.399,2.407,,-0.6%
Demarest,07627,Bergen,40.955603,-73.96044,Demarest Borough,0209,2.33,2.43,2.52,2.65,2.76,2.97,1.72,1.87,1.96,2,2.06,2.102,2.176,2.22,2.266,2.295,2.348,2.36,2.412,2.445,2.484,2.545,2.626,,2.3%
Dumont,07628,Bergen,40.945173,-73.99342,Dumont Borough,0210,2.79,2.87,2.98,3.15,3.29,3.43,3.53,3.77,1.94,2.12,2.23,2.311,2.385,2.463,2.541,3.182,3.248,3.298,3.364,3.443,3.525,3.594,3.669,,2.2%
East Rutherford,07073,Bergen,40.830158,-74.09707,East Rutherford Borough,0212,1.86,1.94,1.92,1.98,2.06,2.17,2.24,2.39,2.5,2.69,2.58,2.841,3.084,1.552,1.618,1.735,1.845,1.904,1.967,1.945,2.074,1.778,1.832,,-0.8%
Edgewater,07020,Bergen,40.830733,-73.97334,Edgewater Borough,0213,2.5,2.59,2.05,2.21,2.16,2.32,2.52,2.61,2.72,2.84,2.96,1.093,1.149,1.225,1.48,1.566,1.626,1.701,1.755,1.779,1.8,1.833,1.896,,2.3%
Elmwood Park,07407,Bergen,40.905639,-74.1199,Elmwood Park Borough,0211,2.27,2.29,2.35,2.47,2.59,2.76,2.9,3.09,1.87,2.01,2.15,2.302,2.335,2.44,2.492,2.591,2.636,2.699,2.783,2.829,2.889,2.923,2.951,,1.9%
Emerson,07630,Bergen,40.97514,-74.02725,Emerson Borough,0214,3.33,3.44,2.46,2.58,2.69,2.87,3.12,3.24,3.42,3.54,1.79,1.84,1.908,1.994,2.329,2.387,2.443,2.496,2.55,2.604,2.662,2.717,2.845,,2.8%
Englewood,07631,Bergen,40.893343,-73.9758,Englewood,0215,2.97,3.12,3.09,2.99,3.15,3.26,3.46,3.81,4.02,4.16,1.84,1.906,1.968,2.023,2.401,2.365,2.477,2.514,2.535,2.557,2.641,2.722,2.789,,2.2%
Englewood Cliffs,07632,Bergen,40.883749,-73.95173,Englewood Cliffs Borough,0216,1.25,1.29,1.29,1.33,1.39,0.93,0.94,0.95,1.02,1.08,1.16,0.721,0.751,0.795,0.794,0.825,0.849,0.87,0.93,0.979,0.998,1.043,1.081,,4.9%
Fair Lawn,07410,Bergen,40.933943,-74.11671,Fair Lawn Borough,0217,2.55,2.68,2.75,2.85,3.04,3.26,3.37,3.67,3.89,4.26,2.03,2.103,2.153,2.283,2.337,2.942,2.989,3.026,3.078,3.137,3.226,3.308,3.37,,2.3%
Fairview,07022,Bergen,40.816737,-74.00082,Fairview Borough,0218,3.04,3.14,3.22,3.15,2.79,2.98,3.14,3.29,3.43,3.64,3.8,3.956,4.15,4.24,2.567,2.684,2.781,2.854,2.919,3.081,3.26,3.366,3.356,,3.5%
Fort Lee,07024,Bergen,40.849879,-73.97501,Fort Lee Borough,0219,2.44,2.47,2.45,2.44,2.5,2.6,2.65,1.5,1.59,1.66,1.72,1.831,1.892,1.947,1.988,2.052,2.123,2.161,2.202,2.254,2.272,2.298,2.353,,1.8%
Franklin Lakes,07417,Bergen,41.010433,-74.20847,Franklin Lakes Borough,0220,1.63,1.69,1.74,1.8,1.87,1.96,2.04,2.15,2.28,2.37,1.11,1.154,1.196,1.246,1.53,1.533,1.557,1.572,1.599,1.641,1.636,1.625,1.642,,0.9%
Garfield,07026,Bergen,40.879858,-74.10807,Garfield,0221,2.63,2.74,2.74,2.79,2.83,2.93,2.95,3.11,3.32,3.57,3.7,3.93,4.096,4.206,2.418,2.461,2.522,2.571,2.641,2.708,2.791,2.841,2.906,,2.6%
Glen Rock,07452,Bergen,40.961109,-74.12576,Glen Rock Borough,0222,2.62,2.81,2.88,3,3.14,3.35,2.21,2.41,2.54,2.66,2.23,2.313,2.411,2.519,2.595,2.645,2.68,2.71,2.746,2.79,2.831,2.887,2.969,,1.9%
Hackensack,07601,Bergen,40.888678,-74.0488,Hackensack,0223,3.68,3.72,3.82,3.9,3.94,4.13,4.3,4.48,4.69,5.01,1.99,2.097,2.215,2.328,2.951,3.095,3.217,3.322,3.5,3.378,3.415,3.413,3.357,,0.2%
Harrington Park,07640,Bergen,40.989357,-73.97958,Harrington Park Borough,0224,2.83,2.91,2.46,2.59,2.7,2.86,3.01,3.05,3.27,1.65,1.69,1.771,1.901,1.978,2.021,2.081,2.495,2.593,2.654,2.722,2.802,2.832,2.885,,2.3%
Hasbrouck Heights,07604,Bergen,40.86289,-74.07506,Hasbrouck Heights Borough,0225,2.48,2.58,2.64,2.72,2.75,2.93,3.1,3.36,3.52,1.78,1.89,1.997,2.07,2.169,2.243,2.742,2.836,2.904,2.986,3.035,2.856,2.852,2.845,,-0.4%
Haworth,07641,Bergen,40.958573,-73.98659,Haworth Borough,0226,2.48,2.56,2.72,2.85,2.97,3.09,3.33,1.99,2.1,2.16,2.29,2.388,2.394,2.447,2.552,2.64,2.699,2.752,2.795,2.91,2.883,2.867,2.911,,1.2%
Hillsdale,07642,Bergen,41.007389,-74.04247,Hillsdale Borough,0227,2.41,2.42,2.51,2.58,2.73,2.87,3.02,3.26,3.52,3.8,1.79,1.873,1.93,2.04,2.11,2.16,2.569,2.609,2.628,2.714,2.755,2.801,2.901,,2.2%
Ho Ho Kus,07423,Bergen,41.001695,-74.10239,Ho-Ho-Kus Borough,0228,2.04,1.64,1.76,1.9,2.05,2.1,2.23,2.41,2.47,1.27,1.34,1.391,1.441,1.51,1.848,1.882,1.914,1.954,1.989,2.059,2.092,2.132,2.155,,2.1%
Leonia,07605,Bergen,40.862685,-73.98551,Leonia Borough,0229,3.22,3.29,3.29,3.32,2.64,2.78,2.99,3.24,3.46,3.59,3.8,3.966,2.17,2.287,2.38,2.474,2.488,2.746,2.791,2.785,2.911,2.946,2.982,,1.7%
Little Ferry,07643,Bergen,40.850621,-74.04112,Little Ferry Borough,0230,2.7,2.88,2.97,3.09,3.17,3.34,3.47,3.69,1.78,1.93,2.06,2.158,2.226,2.34,2.415,2.47,2.561,2.635,3.349,3.352,3.341,3.301,3.26,,4.7%
Lodi,07644,Bergen,40.877999,-74.08265,Lodi Borough,0231,3.22,3.55,3.7,3.67,3.8,3.93,4.11,2.24,2.4,2.58,2.74,2.79,2.819,2.939,3.065,3.103,3.18,3.193,3.203,3.242,3.242,3.246,3.24,,0.3%
Lyndhurst,07071,Bergen,40.808416,-74.12111,Lyndhurst Township,0232,2.33,2.37,2.48,2.55,2.65,2.84,2.99,3.06,3.2,1.45,1.6,1.639,1.691,1.813,1.906,2.55,2.631,2.711,2.747,2.836,2.901,2.976,2.952,,1.8%
Mahwah,07430,Bergen,41.077102,-74.16147,Mahwah Township,0233,1.85,1.92,2.05,2.09,1.24,1.34,1.41,1.55,1.69,1.79,1.9,1.976,2.063,2.124,1.58,1.626,1.664,1.694,1.723,1.747,1.786,1.815,1.841,,1.7%
Maywood,07607,Bergen,40.90503,-74.06279,Maywood Borough,0234,2.85,2.89,2.71,2.79,2.93,3.08,3.26,3.45,3.64,3.88,4.13,1.871,1.943,2.047,2.157,2.678,2.744,2.782,2.822,2.902,2.994,3.043,3.112,,2.4%
Midland Park,07432,Bergen,40.99312,-74.14286,Midland Park Borough,0235,2.63,2.71,2.84,3.02,3.2,2.22,2.27,2.43,2.54,2.67,2.79,2.855,2.959,3.057,3.136,2.571,2.719,2.691,2.811,2.865,2.937,2.987,3.042,,2.6%
Montvale,07645,Bergen,41.048997,-74.04052,Montvale Borough,0236,1.96,2,2.1,2.13,2.25,2.43,2.49,2.59,2.74,1.4,1.45,1.514,1.578550638,1.629,1.681,1.726,2.097,2.181,2.201,2.26,2.303,2.334,2.363,,1.7%
Moonachie,07074,Bergen,40.841668,-74.059,Moonachie Borough,0237,1.89,1.96,2.08,2.16,2.18,2.38,2.46,2.53,1.35,1.43,1.52,1.641,1.712,1.805,1.837,1.93,1.943,2.001,2.111,2.379,2.411,2.423,2.311,,3.1%
New Milford,07646,Bergen,40.936211,-74.0188,New Milford Borough,0238,2.49,2.56,2.62,2.72,2.86,3.05,3.16,3.28,1.79,1.88,2,2.096,2.183,2.296,2.385,2.448,3.086,3.158,3.255,3.322,3.38,3.45,3.543,,2.4%
North Arlington,07031,Bergen,40.791895,-74.13254,North Arlington Borough,0239,2.58,2.56,2.63,2.8,2.94,3.14,3.37,3.49,3.65,3.76,4.27,4.38,4.482,4.742,2.688,2.705,2.806,2.887,3.013,3.099,2.924,2.914,2.871,,-0.1%
Northvale,07647,Bergen,41.009414,-73.94849,Northvale Borough,0240,2.89,2.98,3.04,2.48,2.55,2.72,2.95,3.12,3.28,3.42,1.78,1.801,1.902,1.97,2.444,2.489,2.515,2.573,2.633,2.676,2.736,2.84,2.925,,2.7%
Norwood,07648,Bergen,40.994442,-73.95586,Norwood Borough,0241,2.45,2.52,2.71,2.14,2.26,2.38,2.6,2.67,2.76,2.87,2.99,1.59,1.656,1.725,2.133,2.218,2.249,2.255,2.281,2.374,2.43,2.442,2.444,,1.7%
Oakland,07436,Bergen,41.028884,-74.23727,Oakland Borough,0242,2.64,2.69,2.64,2.65,2.71,2.9,3.11,3.35,1.67,1.8,1.91,1.983,2.052,2.098,2.49,2.527,2.566,2.611,2.666,2.72,2.796,2.833,2.894,,2.2%
Oradell,07649,Bergen,40.953126,-74.03379,Oradell Borough,0244,2.48,2.54,2.61,2.73,2.88,3.09,3.24,3.41,3.56,3.78,3.99,4.043,2.142,2.238,2.284,2.347,2.723,2.784,2.911,2.976,2.702,2.745,2.786,,0.0%
Palisades Park,07650,Bergen,40.845742,-73.99479,Palisades Park Borough,0245,2.77,2.76,2.74,2.73,2.76,2.83,2.86,2.86,2.91,2.96,3.02,1.414,1.443,1.698,1.703,1.722,1.784,1.777,1.861,1.901,1.959,1.979,2.032,,2.9%
Paramus,07652,Bergen,40.947107,-74.07047,Paramus Borough,0246,1.97,1.99,2.13,2.18,2.28,2.34,2.44,1.37,1.47,1.55,1.61,1.482,1.545,1.637,1.665,1.677,1.726,1.719,1.734,1.752,1.801,1.833,1.856,,1.6%
Park Ridge,07656,Bergen,41.034672,-74.04065,Park Ridge Borough,0247,2.07,2.1,2.11,2.13,2.2,2.31,2.47,1.51,1.6,1.69,1.8,1.857,1.901,1.988,2.189,2.279,2.375,2.431,2.503,2.608,2.702,2.767,2.844,,3.4%
Ramsey,07446,Bergen,41.058819,-74.14238,Ramsey Borough,0248,2.62,2.73,2.84,2.91,3.04,3.19,1.81,1.91,2.04,2.14,2.25,2.331,2.398,2.494,2.562,2.589,2.603,2.655,2.701,2.287,2.352,2.397,2.458,,-1.5%
Ridgefield,07657,Bergen,40.832421,-74.00399,Ridgefield Borough,0249,1.86,1.88,1.89,1.88,1.88,1.89,1.9,2.17,1.17,1.19,1.37,1.491,1.563,1.615,1.647,2.002,2.073,2.099,2.167,2.238,2.324,2.417,2.48,,3.6%
Ridgefield Park,07660,Bergen,40.856749,-74.02278,Ridgefield Park Village,0250,2.98,3.18,3.27,3.4,3.56,2.88,3.08,3.35,3.69,3.86,4.09,2.362,2.402,2.509,3.255,3.341,3.385,3.458,3.55,3.624,3.723,3.848,3.939,,2.8%
Ridgewood,07450,Bergen,40.983997,-74.11438,Ridgewood Village,0251,2.71,2.83,2.98,3.08,2.12,2.24,2.34,2.46,2.56,2.67,2.8,1.723,1.792,1.887,1.956,2.019,2.356,2.385,2.433,2.476,2.538,2.565,2.597,,1.8%
River Edge,07661,Bergen,40.927579,-74.03739,River Edge Borough,0252,2.5,2.57,2.76,2.83,2.99,3.13,3.36,3.6,1.93,2.09,2.22,2.316,2.442,2.565,2.671,3.065,3.132,3.223,3.217,3.286,3.362,3.395,3.468,,1.5%
Rochelle Park,07662,Bergen,40.906553,-74.07797,Rochelle Park Township,0254,2.33,2.36,2.45,2.58,2.73,1.8,2.06,2.14,2.18,2.38,2.49,2.593,2.695,1.947,2.013,2.06,2.114,2.21,2.367,2.37,2.398,2.46,2.527,,2.9%
