,stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,City,County,Municipality,Muni Code
1,2,95002,ABSECON,39.424333,-74.502094,333,Absecon,Atlantic County,Absecon,101
2,3,95003,ALLENDALE,41.030902,-74.130957,2893,Allendale,Bergen County,Allendale Borough,201
3,4,95004,ALLENHURST,40.237659,-74.006769,5453,Allenhurst,Monmouth County,Allenhurst Borough,1302
4,6,95006,ANNANDALE,40.645173,-74.878569,5197,Annandale,Hunterdon County,Clinton,1005
5,8,95008,ASBURY PARK,40.215359,-74.014786,5453,Asbury Park,Monmouth County,Asbury Park,1304
6,9,95009,ATCO,39.783547,-74.907588,4429,Atco,Camden County,Waterford Township,435
7,10,95010,ATLANTIC CITY,39.363299,-74.441486,77,Atlantic City,Atlantic County,Atlantic City,102
8,12,95012,BASKING RIDGE,40.711378,-74.55527,4173,Basking Ridge,Somerset County,Bernards Township,1802
9,37004,30843,45TH STREET LIGHT RAIL STATION,40.67867,-74.101673,336,Bayonne,Hudson County,Bayonne,901
10,37005,30844,34TH STREET LIGHT RAIL STATION,40.671778,-74.107493,336,Bayonne,Hudson County,Bayonne,901
11,38229,30845,22ND STREET LIGHT RAIL STATION,40.661277,-74.11641,336,Bayonne,Hudson County,Bayonne,901
12,42673,31145,8TH STREET LIGHT RAIL STATION,40.654298,-74.129142,0,Bayonne,Hudson County,Bayonne,901
14,38064,30540,SILVER LAKE LIGHT RAIL STATION,40.780287,-74.180343,336,Belleville,Essex County,Belleville Township,701
15,15,95015,BELMAR,40.18059,-74.027301,5709,Belmar,Monmouth County,Belmar Borough,1307
16,17,95017,BERKELEY HEIGHTS,40.682345,-74.442649,2893,Berkeley Heights,Union County,Berkeley Heights Township,2001
17,18,95018,BERNARDSVILLE,40.716845,-74.571023,4173,Bernardsville,Somerset County,Bernardsville Borough,1803
18,38299,30863,BEVERLY/EDGEWATER PARK LIGHT RAIL STA,40.06112,-74.915131,336,Beverly,Burlington County,Beverly,302
