City,Zip Code,County,Latitude,Longitude,Municipality,Muni Code,2012,2013,2014,2015,2016,2017,2018
Absecon,8201,Atlantic,39.457517,-74.50914,Absecon,101,8467,8441,8378,8292,8200,8173,8442
Atlantic City,8401,Atlantic,39.364966,-74.43903,Atlantic City,102,39396,39470,39184,38726,38294,37919,37804
Brigantine,8203,Atlantic,39.401801,-74.38017,Brigantine,103,9399,9333,9199,9076,8937,8842,8765
Buena,8310,Atlantic,39.522686,-74.89684,Buena Borough,104,4576,4548,4510,4471,4407,4371,4347
Egg Harbor City,8215,Atlantic,39.548049,-74.62171,Egg Harbor City,107,4239,4225,4230,4194,4147,4121,4104
Hammonton,8037,Atlantic,39.625291,-74.77705,Hammonton,113,14669,14639,14538,14396,14246,14155,14085
Linwood,8221,Atlantic,39.348616,-74.57387,Linwood,114,7050,7025,6963,6881,6818,6767,6740
Margate City,8402,Atlantic,39.329416,-74.50661,Margate City,116,6315,6268,6201,6150,6071,6001,5959
Northfield,8225,Atlantic,39.370083,-74.55211,Northfield,118,8586,8552,8486,8403,8312,8246,8212
Pleasantville,8232,Atlantic,39.394616,-74.52212,Pleasantville,119,20504,20438,20309,20493,20280,20474,20376
Somers Point,8244,Atlantic,39.319901,-74.5999,Somers Point,121,10771,10734,10654,10540,10422,10338,10285
Ventnor City,8406,Atlantic,39.342299,-74.48192,Ventnor City,122,10592,10550,10468,10341,10197,10101,10039
Allendale,7401,Bergen,41.031505,-74.13409,Allendale Borough,201,6626,6687,6713,6738,6779,6799,6792
Bergenfield,7621,Bergen,40.923748,-73.99879,Bergenfield Borough,203,27180,27255,27290,27336,27327,27469,27479
Bogota,7603,Bergen,40.873876,-74.02769,Bogota Borough,204,8231,8254,8266,8287,8408,8427,8413
Carlstadt,7072,Bergen,40.836555,-74.08466,Carlstadt Borough,205,6174,6188,6188,6199,6181,6214,6191
Cliffside Park,7010,Bergen,40.82154,-73.98949,Cliffside Park Borough,206,24378,24451,24479,24573,24622,24752,25935
Closter,7624,Bergen,40.971956,-73.96166,Closter Borough,207,8548,8584,8593,8597,8610,8629,8582
Cresskill,7626,Bergen,40.942074,-73.96504,Cresskill Borough,208,8639,8671,8678,8695,8681,8794,8775
Dumont,7628,Bergen,40.945173,-73.99342,Dumont Borough,210,17581,17629,17656,17701,17678,17716,17697
East Rutherford,7073,Bergen,40.830158,-74.09707,East Rutherford Borough,212,8987,9007,9022,9050,9748,9771,9764
Edgewater,7020,Bergen,40.830733,-73.97334,Edgewater Borough,213,11659,11882,12259,11889,11913,12172,12720
Elmwood Park,7407,Bergen,40.905639,-74.1199,Elmwood Park Borough,211,19686,20035,20070,20113,20096,20142,20120
Emerson,7630,Bergen,40.97514,-74.02725,Emerson Borough,214,7520,7557,7568,7589,7588,7622,7643
Englewood,7631,Bergen,40.893343,-73.9758,Englewood,215,27669,27745,28087,28169,28136,28646,28624
Englewood Cliffs,7632,Bergen,40.883749,-73.95173,Englewood Cliffs Borough,216,5354,5369,5368,5363,5348,5367,5385
Fair Lawn,7410,Bergen,40.933943,-74.11671,Fair Lawn Borough,217,32761,32856,32907,33111,33074,33154,33128
Fairview,7022,Bergen,40.816737,-74.00082,Fairview Borough,218,14023,14129,14251,14266,14256,14298,14295
Fort Lee,7024,Bergen,40.849879,-73.97501,Fort Lee Borough,219,35843,36179,36222,36283,37187,37329,37921
Franklin Lakes,7417,Bergen,41.010433,-74.20847,Franklin Lakes Borough,220,10700,10735,10768,10755,10732,11074,11096
Garfield,7026,Bergen,40.879858,-74.10807,Garfield,221,30891,31054,31242,31413,31530,31886,31866
Glen Rock,7452,Bergen,40.961109,-74.12576,Glen Rock Borough,222,11697,11744,11808,11832,11805,11846,11829
Hackensack,7601,Bergen,40.888678,-74.0488,Hackensack,223,43402,43511,44185,44297,44283,44559,44522
Hasbrouck Heights,7604,Bergen,40.86289,-74.07506,Hasbrouck Heights Borough,225,11991,12035,12068,12099,12076,12107,12080
Hillsdale,7642,Bergen,41.007389,-74.04247,Hillsdale Borough,227,10336,10364,10377,10403,10393,10412,10405
Leonia,7605,Bergen,40.862685,-73.98551,Leonia Borough,229,9039,9061,9074,9103,9094,9116,9110
Little Ferry,7643,Bergen,40.850621,-74.04112,Little Ferry Borough,230,10757,10789,10800,10832,10811,10832,10822
Lodi,7644,Bergen,40.877999,-74.08265,Lodi Borough,231,24346,24423,24447,24504,24475,24543,24551
Maywood,7607,Bergen,40.90503,-74.06279,Maywood Borough,234,9601,9645,9657,9677,9672,9698,9694
Midland Park,7432,Bergen,40.99312,-74.14286,Midland Park Borough,235,7213,7233,7234,7252,7246,7274,7265
Montvale,7645,Bergen,41.048997,-74.04052,Montvale Borough,236,8058,8129,8219,8337,8415,8586,8600
New Milford,7646,Bergen,40.936211,-74.0188,New Milford Borough,238,16497,16534,16540,16597,16579,16607,16558
North Arlington,7031,Bergen,40.791895,-74.13254,North Arlington Borough,239,15598,15641,15664,15706,15693,15756,15741
Norwood,7648,Bergen,40.994442,-73.95586,Norwood Borough,241,5787,5795,5802,5820,5810,5820,5831
Oakland,7436,Bergen,41.028884,-74.23727,Oakland Borough,242,12884,12930,12963,13004,12988,13018,13021
Oradell,7649,Bergen,40.953126,-74.03379,Oradell Borough,244,8054,8085,8091,8117,8129,8184,8193
Palisades Park,7650,Bergen,40.845742,-73.99479,Palisades Park Borough,245,20059,20319,20357,20466,20518,20650,20820
Paramus,7652,Bergen,40.947107,-74.07047,Paramus Borough,246,26550,26595,26602,26661,26607,26625,26558
Park Ridge,7656,Bergen,41.034672,-74.04065,Park Ridge Borough,247,8738,8762,8792,8812,8801,8802,8786
Ramsey,7446,Bergen,41.058819,-74.14238,Ramsey Borough,248,14757,14853,14896,14963,14952,15003,14991
Ridgefield,7657,Bergen,40.832421,-74.00399,Ridgefield Borough,249,11166,11199,11210,11239,11243,11265,11265
Ridgefield Park,7660,Bergen,40.856749,-74.02278,Ridgefield Park Village,250,12852,12887,12901,12932,12915,12946,13009
Ridgewood,7450,Bergen,40.983997,-74.11438,Ridgewood Village,251,25156,25210,25221,25302,25259,25293,25272
River Edge,7661,Bergen,40.927579,-74.03739,River Edge Borough,252,11451,11482,11494,11523,11519,11539,11531
Tenafly,7670,Bergen,40.92169,-73.96482,Tenafly Borough,261,14701,14726,14734,14718,14693,14675,14641
Waldwick,7463,Bergen,41.013109,-74.12231,Waldwick Borough,264,9721,9767,9801,9912,9899,9915,10207
Wallington,7057,Bergen,40.852931,-74.10925,Wallington Borough,265,11469,11512,11537,11571,11560,11595,11591
Westwood,7675,Bergen,40.99904,-74.03291,Westwood Borough,267,11050,11076,11097,11127,11111,11147,11155
Wood Ridge,7075,Bergen,40.847638,-74.08754,Wood-Ridge Borough,269,7836,7850,7856,8148,8506,8875,9159
Woodcliff Lake,7677,Bergen,41.025101,-74.059762,Woodcliff Lake Borough,268,5763,5758,5778,5836,5820,5803,5862
Bordentown,8505,Burlington,40.132784,-74.71778,Bordentown,303,3913,3890,3881,3852,3831,3813,3801
Burlington,8016,Burlington,40.06834,-74.84463,Burlington,305,9912,9860,9822,9767,9822,9782,9884
Medford,8055,Burlington,39.865272,-74.8185,Medford Township,320,4139,4115,4093,4068,4043,4000,3947
Palmyra,8065,Burlington,40.00278,-75.02626,Palmyra Borough,327,7359,7313,7295,7251,7201,7176,7161
Pemberton,8068,Burlington,39.961183,-74.66266,Pemberton Borough,328,1390,1382,1378,1370,1358,1335,1330
Audubon,8106,Camden,39.892213,-75.07212,Audubon Borough,401,8766,8717,8685,8675,8673,8656,8659
Barrington,8007,Camden,39.868013,-75.05424,Barrington Borough,403,6861,6806,6775,6755,6745,6716,6683
Bellmawr,8031,Camden,39.867013,-75.09162,Bellmawr Borough,404,11549,11482,11433,11411,11415,11395,11374
Berlin,8009,Camden,39.779582,-74.9365,Berlin Borough,405,7638,7599,7573,7553,7558,7548,7554
Camden,8101,Camden,39.80237,-74.938259,Camden,408,76883,76462,75856,75371,73974,73893,73973
Collingswood,8108,Camden,39.915263,-75.06401,Collingswood Borough,412,13865,13855,13801,13917,13924,13904,13916
Gloucester City,8030,Camden,39.891113,-75.11836,Gloucester City,414,11387,11321,11273,11253,11257,11237,11244
Haddon Heights,8035,Camden,39.87913,-75.06599,Haddon Heights Borough,418,7481,7456,7455,7458,7498,7522,7541
Haddonfield,8033,Camden,39.895213,-75.04019,Haddonfield Borough,417,11529,11459,11404,11364,11380,11360,11345
Runnemede,8078,Camden,39.850013,-75.0767,Runnemede Borough,430,8423,8374,8342,8325,8328,8313,8318
Somerdale,8083,Camden,39.842613,-75.02496,Somerdale Borough,431,5197,5250,5324,5407,5458,5446,5473
Stratford,8084,Camden,39.829014,-75.01371,Stratford Borough,432,7033,6995,6979,6980,6972,6960,6967
Cape May,8204,Cape May,38.963652,-74.92319,Cape May,502,3573,3547,3528,3506,3490,3477,3448
