Num,Municipality Name,Municipality Code,County,Latitude,Longitude,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,ABSECON CITY,101,Atlantic,39.42,-74.49,"$109,793.81 ","$123,885.00 ","$131,244.00 ","$138,716.00 ","$172,130.00 ","$188,925.00 ","$232,963.00 ","$230,291.00 ","$248,523.00 ","$225,021.00 ","$226,616.00 ","$185,000.00 ","$187,078.00 ","$214,726.00 ","$193,942.00 ","$188,878.00 ","$201,069.00 ","$185,721.00 ","$162,176.00 ","$189,602 "
2,ATLANTIC CITY,102,Atlantic,39.38,-74.45,"$88,224.94 ","$102,730.00 ","$99,305.00 ","$116,024.00 ","$134,094.00 ","$183,909.00 ","$236,919.00 ","$258,457.00 ","$278,591.00 ","$264,756.00 ","$240,083.00 ","$218,377.00 ","$186,936.00 ","$208,190.00 ","$183,602.00 ","$127,629.00 ","$122,783.00 ","$123,865.00 ","$143,078.00 ","$143,915 "
3,BRIGANTINE CITY,103,Atlantic,39.41,-74.38,"$161,151.34 ","$168,327.00 ","$210,221.00 ","$278,379.00 ","$330,796.00 ","$409,053.00 ","$570,948.00 ","$493,934.00 ","$473,615.00 ","$424,278.00 ","$439,695.00 ","$427,991.00 ","$388,167.00 ","$384,155.00 ","$422,341.00 ","$406,350.00 ","$352,184.00 ","$347,171.00 ","$345,612.00 ","$337,710 "
4,BUENA BOROUGH,104,Atlantic,39.53,-74.94,"$81,078.80 ","$90,866.00 ","$104,585.00 ","$107,181.00 ","$114,403.00 ","$134,350.00 ","$174,568.00 ","$189,014.00 ","$172,629.00 ","$167,149.00 ","$173,645.00 ","$178,911.00 ","$162,027.00 ","$161,660.00 ","$143,910.00 ","$155,043.00 ","$169,542.00 ","$160,442.00 ","$165,812.00 ","$162,652 "
5,BUENA VISTA,105,Atlantic,39.51,-74.88,"$97,314.41 ","$101,177.00 ","$100,874.00 ","$134,354.00 ","$154,824.00 ","$199,812.00 ","$157,500.00 ","$196,632.00 ","$204,950.00 ","$190,972.00 ","$220,188.00 ","$224,408.00 ","$142,333.00 ","$238,844.00 ","$210,936.00 ","$205,654.00 ","$189,996.00 ","$194,442.00 ","$182,910.00 ","$182,985 "
6,CORBIN CITY,106,Atlantic,39.3,-74.72,"$121,450.00 ","$57,900.00 ","$66,633.00 ","$87,633.00 ", N/A , N/A ,"$245,986.00 ","$115,000.00 ","$45,000.00 ","$102,188.00 ","$238,000.00 ","$274,000.00 ","$322,500.00 ","$146,275.00 ", N/A ,"$218,750.00 ","$272,000.00 ","$430,000.00 ","$221,833.00 ","$311,475 "
7,EGG HARBOR CITY,107,Atlantic,39.56,-74.6,"$92,879.41 ","$93,540.00 ","$94,694.00 ","$115,251.00 ","$129,701.00 ","$157,016.00 ","$207,729.00 ","$207,847.00 ","$200,958.00 ","$169,250.00 ","$169,561.00 ","$144,753.00 ","$146,750.00 ","$144,844.00 ","$109,127.00 ","$133,819.00 ","$129,503.00 ","$127,827.00 ","$123,200.00 ","$131,481 "
8,EGG HARBOR,108,Atlantic,39.37,-74.59,"$112,432.41 ","$119,348.00 ","$127,573.00 ","$145,090.00 ","$181,823.00 ","$227,087.00 ","$274,888.00 ","$275,049.00 ","$265,456.00 ","$252,973.00 ","$248,369.00 ","$242,759.00 ","$216,837.00 ","$229,956.00 ","$235,709.00 ","$244,685.00 ","$206,673.00 ","$212,353.00 ","$223,118.00 ","$227,483 "
9,ESTELL MANOR CITY,109,Atlantic,39.36,-74.78,"$124,476.47 ","$122,971.00 ","$138,747.00 ","$159,969.00 ","$193,605.00 ","$246,700.00 ","$278,805.00 ","$299,583.00 ","$232,885.00 ","$306,333.00 ","$233,886.00 ","$225,800.00 ","$165,863.00 ","$208,471.00 ","$282,500.00 ","$232,857.00 ","$250,529.00 ","$189,288.00 ","$252,590.00 ","$220,595 "
10,FOLSOM BOROUGH,110,Atlantic,39.59,-74.84,"$86,519.23 ","$95,860.00 ","$113,160.00 ","$129,840.00 ","$160,871.00 ","$178,014.00 ","$210,504.00 ","$214,495.00 ","$207,725.00 ","$188,040.00 ","$168,811.00 ","$191,140.00 ","$183,583.00 ","$207,814.00 ","$182,500.00 ","$194,450.00 ","$175,357.00 ","$186,583.00 ","$231,467.00 ","$212,919 "
11,GALLOWAY,111,Atlantic,39.4863,-74.472,"$94,426.84 ","$100,693.00 ","$105,397.00 ","$128,991.00 ","$153,847.00 ","$189,016.00 ","$226,143.00 ","$224,560.00 ","$215,459.00 ","$209,323.00 ","$203,630.00 ","$210,036.00 ","$199,843.00 ","$200,960.00 ","$180,411.00 ","$177,789.00 ","$175,354.00 ","$174,947.00 ","$178,567.00 ","$187,982 "
12,HAMILTON TWP,112,Atlantic,39.66,-74.77,"$82,147.43 ","$89,248.00 ","$98,179.00 ","$110,415.00 ","$140,531.00 ","$171,348.00 ","$204,277.00 ","$214,347.00 ","$216,834.00 ","$202,618.00 ","$183,988.00 ","$193,823.00 ","$197,152.00 ","$194,327.00 ","$191,708.00 ","$171,112.00 ","$180,346.00 ","$175,477.00 ","$185,793.00 ","$175,294 "
13,HAMMONTON TOWN,113,Atlantic,39.66,-74.77,"$105,695.12 ","$111,575.00 ","$115,590.00 ","$126,417.00 ","$147,555.00 ","$177,308.00 ","$215,270.00 ","$237,809.00 ","$221,564.00 ","$217,333.00 ","$225,068.00 ","$220,676.00 ","$226,681.00 ","$230,323.00 ","$207,783.00 ","$205,443.00 ","$201,913.00 ","$213,734.00 ","$213,655.00 ","$232,940 "
14,LINWOOD CITY,114,Atlantic,39.34,-74.57,"$169,996.63 ","$197,978.00 ","$237,546.00 ","$258,526.00 ","$289,013.00 ","$322,680.00 ","$410,507.00 ","$397,670.00 ","$422,946.00 ","$388,654.00 ","$364,809.00 ","$380,412.00 ","$285,541.00 ","$309,464.00 ","$386,834.00 ","$234,082.00 ","$233,388.00 ","$271,859.00 ","$254,391.00 ","$264,989 "
15,LONGPORT BOROUGH,115,Atlantic,39.31,-74.52,"$397,455.23 ","$435,522.00 ","$503,364.00 ","$864,538.00 ","$652,949.00 ","$937,706.00 ","$1,467,132.00 ","$1,073,981.00 ","$1,291,153.00 ","$1,735,962.00 ","$1,067,000.00 ","$1,243,303.00 ","$947,190.00 ","$912,344.00 ","$1,041,333.00 ","$912,191.00 ","$1,126,050.00 ","$1,255,442.00 ","$1,063,222.00 ","$1,276,881 "
16,MARGATE CITY,116,Atlantic,39.33,-74.51,"$185,365.18 ","$200,653.00 ","$241,307.00 ","$318,188.00 ","$344,357.00 ","$504,152.00 ","$568,316.00 ","$592,679.00 ","$583,279.00 ","$525,905.00 ","$488,351.00 ","$539,076.00 ","$475,367.00 ","$486,392.00 ","$535,593.00 ","$521,120.00 ","$598,972.00 ","$532,776.00 ","$604,470.00 ","$591,374 "
17,MULLICA,117,Atlantic,39.73,-75.22,"$120,994.23 ","$148,495.00 ","$131,662.00 ","$146,800.00 ","$146,010.00 ","$193,588.00 ","$263,728.00 ","$222,639.00 ","$274,042.00 ","$263,491.00 ","$223,497.00 ","$235,694.00 ","$200,492.00 ","$191,911.00 ","$208,578.00 ","$189,788.00 ","$240,241.00 ","$209,568.00 ","$206,461.00 ","$210,000 "
18,NORTHFIELD CITY,118,Atlantic,39.37,-74.56,"$131,684.88 ","$137,622.00 ","$148,298.00 ","$176,092.00 ","$201,919.00 ","$254,398.00 ","$294,174.00 ","$290,974.00 ","$280,086.00 ","$263,612.00 ","$271,722.00 ","$228,774.00 ","$218,311.00 ","$239,689.00 ","$228,260.00 ","$222,698.00 ","$231,799.00 ","$197,580.00 ","$209,607.00 ","$204,642 "
19,PLEASANTVILLE CITY,119,Atlantic,39.39,-74.52,"$67,423.66 ","$74,157.00 ","$81,832.00 ","$89,516.00 ","$107,142.00 ","$129,519.00 ","$165,334.00 ","$180,612.00 ","$164,951.00 ","$151,781.00 ","$150,262.00 ","$128,117.00 ","$115,122.00 ","$108,567.00 ","$100,700.00 ","$91,850.00 ","$93,872.00 ","$109,851.00 ","$99,475.00 ","$110,355 "
