,City,Latitude,Longitude,# of Sales,Total Sales Price,Avg Sale Price
1,ABSECON CITY,39.4285,-74.4957,97,"10,650,000","109,794"
2,ATLANTIC CITY CITY,39.3643,-74.4229,355,"31,319,852","88,225"
3,BRIGANTINE CITY,40.912798,-74.41516,635,"102,331,098","161,151"
4,BUENA BORO,40.912798,-74.41516,25,"2,026,970","81,079"
5,BUENA VISTA TWP,40.912798,-74.41516,34,"3,308,690","97,314"
6,CORBIN CITY CITY,40.879699,-74.14263,2,"242,900","121,450"
7,EGG HARBOR CITY,40.830733,-73.97334,34,"3,157,900","92,879"
8,EGG HARBOR TWP,40.830733,-73.97334,398,"44,748,100","112,432"
9,ESTELL MANOR CITY,40.827499,-74.28091,17,"2,116,100","124,476"
10,FOLSOM BORO,40.641852,-74.38533,13,"1,124,750","86,519"
11,GALLOWAY TWP,40.849879,-73.97501,578,"54,578,716","94,427"
12,HAMILTON TWP,40.80495,-74.2047,340,"27,930,127","82,147"
13,HAMMONTON TOWN,40.80495,-74.2047,82,"8,667,000","105,695"
14,LINWOOD CITY,41.007389,-74.04247,104,"17,679,650","169,997"
15,LONGPORT BORO,40.788599,-74.78295,86,"34,181,150","397,455"
16,MARGATE CITY CITY,40.502477,-74.650023,330,"61,170,509","185,365"
17,MULLICA TWP,40.389428,-74.54329,52,"6,291,700","120,994"
18,NORTHFIELD CITY,40.51057,-74.72472,125,"16,460,610","131,685"
19,PLEASANTVILLE CITY,40.583035,-74.96224,173,"11,664,293","67,424"
20,PORT REPUBLIC CITY,40.583035,-74.96224,11,"1,832,605","166,600"
21,SOMERS POINT CITY,40.430006,-74.417344,192,"24,800,465","129,169"
22,VENTNOR CITY,40.500254,-74.4257,373,"54,867,753","147,099"
23,WEYMOUTH TWP,40.500254,-74.4257,19,"2,024,800","106,568"
1,ALLENDALE BORO,41.0415,-74.129,109,"46,454,250","426,186"
2,ALPINE BORO,40.9559,-73.9312,31,"35,305,500","1,138,887"
3,BERGENFIELD BORO,40.666552,-74.11768,407,"77,381,278","190,126"
4,BOGOTA BORO,40.803,-74.18895,86,"15,525,776","180,532"
5,CARLSTADT BORO,40.848999,-74.27917,27,"5,258,400","194,756"
6,CLIFFSIDE PARK BORO,40.82154,-73.98949,340,"83,558,007","245,759"
7,CLOSTER BORO,40.879699,-74.14263,47,"17,960,500","382,138"
8,CRESSKILL BORO,40.656302,-74.30371,133,"60,127,550","452,087"
