2005 Residential Sales Price Per Municipality,,,,,,,
,,# of Sales,Total Sales Price,Avg Sale Price,,,
01,ATLANTIC COUNTY,,,,,,
01,ABSECON CITY,177,"33,439,699","188,925",,,
02,ATLANTIC CITY CITY,929,"170,851,903","183,909",,,
03,BRIGANTINE CITY,671,"274,474,253","409,053",,,
04,BUENA BORO,64,"8,598,372","134,350",,,
05,BUENA VISTA TWP,17,"3,396,800","199,812",,,
06,CORBIN CITY CITY,0,0,N/A,,,
07,EGG HARBOR CITY,64,"10,049,000","157,016",,,
08,EGG HARBOR TWP,774,"175,765,442","227,087",,,
09,ESTELL MANOR CITY,15,"3,700,500","246,700",,,
10,FOLSOM BORO,27,"4,806,379","178,014",,,
11,GALLOWAY TWP,957,"180,888,547","189,016",,,
12,HAMILTON TWP,631,"108,120,525","171,348",,,
13,HAMMONTON TOWN,130,"23,050,014","177,308",,,
14,LINWOOD CITY,155,"50,015,400","322,680",,,
15,LONGPORT BORO,34,"31,882,000","937,706",,,
16,MARGATE CITY CITY,165,"83,185,144","504,152",,,
17,MULLICA TWP,67,"12,970,401","193,588",,,
18,NORTHFIELD CITY,131,"33,326,084","254,398",,,
19,PLEASANTVILLE CITY,384,"49,735,118","129,519",,,
20,PORT REPUBLIC CITY,20,"5,414,200","270,710",,,
21,SOMERS POINT CITY,224,"61,510,872","274,602",,,
22,VENTNOR CITY,467,"162,182,074","347,285",,,
23,WEYMOUTH TWP,2,"248,000","124,000",,,
,ATLANTIC COUNTY,"6,105","1,487,610,727","243,671",,,
,,,,,,,
02,BERGEN COUNTY,,,,,,
01,ALLENDALE BORO,107,"71,140,600","664,865",,,
02,ALPINE BORO,9,"15,757,800","1,750,867",,,
03,BERGENFIELD BORO,128,"48,717,990","380,609",,,
04,BOGOTA BORO,148,"51,451,500","347,645",,,
05,CARLSTADT BORO,52,"21,267,000","408,981",,,
06,CLIFFSIDE PARK BORO,401,"181,437,368","452,462",,,
07,CLOSTER BORO,142,"96,090,471","676,693",,,
