2006 Residential Sales Price Per Municipality,,,,
,,# of Sales,Total Sales Price,Avg Sale Price
01,ATLANTIC COUNTY,,,
01,ABSECON CITY,182,"42,399,226","232,963"
02,ATLANTIC CITY CITY,873,"206,829,856","236,919"
03,BRIGANTINE CITY,136,"77,648,949","570,948"
04,BUENA BORO,51,"9,012,850","174,568"
05,BUENA VISTA TWP,4,"630,000","157,500"
06,CORBIN CITY CITY,7,"1,721,900","245,986"
07,EGG HARBOR CITY,15,"3,115,937","207,729"
08,EGG HARBOR TWP,747,"205,341,675","274,888"
09,ESTELL MANOR CITY,22,"6,133,700","278,805"
10,FOLSOM BORO,28,"5,894,100","210,504"
11,GALLOWAY TWP,877,"198,327,606","226,143"
12,HAMILTON TWP,664,"135,639,897","204,277"
13,HAMMONTON TOWN,152,"32,721,051","215,270"
14,LINWOOD CITY,133,"54,597,400","410,507"
15,LONGPORT BORO,72,"105,633,500","1,467,132"
16,MARGATE CITY CITY,269,"152,877,019","568,316"
17,MULLICA TWP,69,"18,197,200","263,728"
18,NORTHFIELD CITY,129,"37,948,500","294,174"
19,PLEASANTVILLE CITY,450,"74,400,507","165,334"
20,PORT REPUBLIC CITY,7,"2,088,300","298,329"
21,SOMERS POINT CITY,169,"53,923,897","319,076"
22,VENTNOR CITY,129,"56,760,589","440,005"
23,WEYMOUTH TWP,0,0,N/A
,ATLANTIC COUNTY,"5,185","1,481,843,659","285,794"
,,,,
02,BERGEN COUNTY,,,
01,ALLENDALE BORO,94,"69,939,704","744,039"
02,ALPINE BORO,28,"72,074,690","2,574,096"
03,BERGENFIELD BORO,399,"164,401,161","412,033"
04,BOGOTA BORO,126,"51,961,623","412,394"
05,CARLSTADT BORO,51,"23,173,500","454,382"
06,CLIFFSIDE PARK BORO,342,"179,733,750","525,537"
07,CLOSTER BORO,33,"30,339,000","919,364"
08,CRESSKILL BORO,127,"114,438,233","901,088"
09,DEMAREST BORO,62,"53,887,010","869,145"
10,DUMONT BORO,212,"90,530,471","427,031"
11,ELMWOOD BORO,211,"92,108,775","436,534"
12,EAST RUTHERFORD BORO,42,"14,471,238","344,553"
