,City,Lat,Lon,# of Sales,Total Sales Price,Avg Sale Price
1,ABSECON CITY,39.4285,-74.4957,77,"$14,300,550.00 ","185,721"
2,ATLANTIC CITY CITY,39.3643,-74.4229,182,"$22,543,370.00 ","123,865"
3,BRIGANTINE CITY,40.912798,-74.41516,298,"$103,456,910.00 ","347,171"
4,BUENA BORO,40.912798,-74.41516,24,"$3,850,600.00 ","160,442"
5,BUENA VISTA TWP,40.912798,-74.41516,23,"$4,472,175.00 ","194,442"
6,CORBIN CITY CITY,40.879699,-74.14263,1,"$430,000.00 ","430,000"
7,EGG HARBOR CITY,40.830733,-73.97334,22,"$2,812,200.00 ","127,827"
8,EGG HARBOR TWP,40.830733,-73.97334,360,"$76,446,915.00 ","212,353"
9,ESTELL MANOR CITY,40.827499,-74.28091,8,"$1,514,300.00 ","189,288"
10,FOLSOM BORO,40.641852,-74.38533,6,"$1,119,500.00 ","186,583"
11,GALLOWAY TWP,40.849879,-73.97501,309,"$54,058,625.00 ","174,947"
12,HAMILTON TWP,40.80495,-74.2047,201,"$35,270,930.00 ","175,477"
13,HAMMONTON TOWN,40.80495,-74.2047,112,"$23,938,190.00 ","213,734"
14,LINWOOD CITY,41.007389,-74.04247,86,"$23,379,900.00 ","271,859"
15,LONGPORT BORO,40.788599,-74.78295,50,"$62,772,100.00 ","1,255,442"
16,MARGATE CITY CITY,40.502477,-74.650023,249,"$132,661,177.00 ","532,776"
17,MULLICA TWP,40.389428,-74.54329,37,"$7,754,000.00 ","209,568"
18,NORTHFIELD CITY,40.51057,-74.72472,73,"$14,423,329.00 ","197,580"
19,PLEASANTVILLE CITY,40.583035,-74.96224,60,"$6,591,068.00 ","109,851"
20,PORT REPUBLIC CITY,40.583035,-74.96224,0,0,0
21,SOMERS POINT CITY,40.430006,-74.417344,100,"$23,147,810.00 ","231,478"
22,VENTNOR CITY,40.500254,-74.4257,90,"$25,337,528.00 ","281,528"
23,WEYMOUTH TWP,40.500254,-74.4257,6,"$1,300,300.00 ","216,717"
1,ALLENDALE BORO,41.0415,-74.129,83,"$59,584,494.00 ","717,885"
2,ALPINE BORO,40.9559,-73.9312,11,"$31,755,000.00 ","2,886,818"
3,BERGENFIELD BORO,40.666552,-74.11768,182,"$64,393,688.00 ","353,811"
4,BOGOTA BORO,40.803,-74.18895,50,"$15,723,000.00 ","314,460"
5,CARLSTADT BORO,40.848999,-74.27917,16,"$5,866,000.00 ","366,625"
6,CLIFFSIDE PARK BORO,40.82154,-73.98949,185,"$74,638,138.00 ","403,449"
7,CLOSTER BORO,40.879699,-74.14263,93,"$72,331,426.00 ","777,757"
8,CRESSKILL BORO,40.656302,-74.30371,116,"$94,259,287.00 ","812,580"
9,DEMAREST BORO,40.656302,-74.30371,56,"$47,967,799.00 ","856,568"
10,DUMONT BORO,40.656302,-74.30371,152,"$57,526,609.00 ","378,465"
11,ELMWOOD PARK BORO,40.830733,-73.97334,101,"$35,703,086.00 ","353,496"
12,E RUTHERFORD BORO,40.656302,-74.30371,75,"$27,508,826.00 ","366,784"
13,EDGEWATER BORO,40.830733,-73.97334,203,"$120,654,406.00 ","594,357"
14,EMERSON BORO,40.830733,-73.97334,52,"$25,163,518.00 ","483,914"
15,ENGLEWOOD CITY,40.830733,-73.97334,213,"$102,846,268.00 ","482,846"
16,ENGLEWOOD CLIFFS BORO,40.830733,-73.97334,62,"$88,350,300.00 ","1,425,005"
17,FAIRLAWN BORO,40.827499,-74.28091,281,"$114,107,329.00 ","406,076"
18,FAIRVIEW BORO,40.816737,-74.00082,71,"$27,273,150.00 ","384,129"
19,FORT LEE BORO,40.849879,-73.97501,320,"$174,388,189.00 ","544,963"
20,FRANKLIN LAKES BORO,40.849879,-73.97501,107,"$114,792,774.00 ","1,072,830"
21,GARFIELD CITY,40.879858,-74.10807,141,"$44,379,312.00 ","314,747"
22,GLEN ROCK BORO,40.80495,-74.2047,109,"$64,939,047.00 ","595,771"
23,HACKENSACK CITY,40.80495,-74.2047,131,"$33,576,436.00 ","256,309"
24,HARRINGTON PARK BORO,40.80495,-74.2047,72,"$41,249,613.00 ","572,911"
