2018 Average Residential Sales Price Per Municipality,,,,
,,# of Sales,Total Sales Price,Avg Sale Price
01,ATLANTIC COUNTY,,,
01,ABSECON CITY,86 ,"13,947,100 ","162,176 "
02,ATLANTIC CITY CITY,188 ,"26,898,584 ","143,078 "
03,BRIGANTINE CITY,383 ,"132,369,537 ","345,612 "
04,BUENA BORO,26 ,"4,311,100 ","165,812 "
05,BUENA VISTA TWP,42 ,"7,682,230 ","182,910 "
06,CORBIN CITY CITY,3 ,"665,500 ","221,833 "
07,EGG HARBOR CITY,9 ,"1,108,800 ","123,200 "
08,EGG HARBOR TWP,414 ,"92,370,773 ","223,118 "
09,ESTELL MANOR CITY,10 ,"2,525,900 ","252,590 "
10,FOLSOM BORO,6 ,"1,388,800 ","231,467 "
11,GALLOWAY TWP,351 ,"62,676,949 ","178,567 "
12,HAMILTON TWP,229 ,"42,546,688 ","185,793 "
13,HAMMONTON TOWN,123 ,"26,279,597 ","213,655 "
14,LINWOOD CITY,82 ,"20,860,050 ","254,391 "
15,LONGPORT BORO,46 ,"48,908,219 ","1,063,222 "
16,MARGATE CITY CITY,262 ,"158,371,104 ","604,470 "
17,MULLICA TWP,31 ,"6,400,300 ","206,461 "
18,NORTHFIELD CITY,80 ,"16,768,540 ","209,607 "
19,PLEASANTVILLE CITY,105 ,"10,444,875 ","99,475 "
20,PORT REPUBLIC CITY,10 ,"2,635,700 ","263,570 "
21,SOMERS POINT CITY,100 ,"22,164,525 ","221,645 "
22,VENTNOR CITY,206 ,"68,092,871 ","330,548 "
23,WEYMOUTH TWP,10 ,"2,461,700 ","246,170 "
,ATLANTIC COUNTY,"2,802 ","771,879,442 ","275,474 "
,,,,
02,BERGEN COUNTY,,,
01,ALLENDALE BORO,61 ,"39,286,224 ","644,036 "
02,ALPINE BORO,10 ,"29,178,500 ","2,917,850 "
03,BERGENFIELD BORO,196 ,"83,228,871 ","424,637 "
04,BOGOTA BORO,56 ,"19,248,392 ","343,721 "
05,CARLSTADT BORO,17 ,"6,734,000 ","396,118 "
06,CLIFFSIDE PARK BORO,190 ,"87,794,958 ","462,079 "
07,CLOSTER BORO,27 ,"21,283,860 ","788,291 "
08,CRESSKILL BORO,40 ,"35,920,350 ","898,009 "
09,DEMAREST BORO,76 ,"72,891,024 ","959,092 "
10,DUMONT BORO,187 ,"71,796,763 ","383,940 "
11,ELMWOOD PARK BORO,104 ,"37,124,000 ","356,962 "
12,E RUTHERFORD BORO,18 ,"6,418,000 ","356,556 "
13,EDGEWATER BORO,191 ,"107,000,799 ","560,214 "
14,EMERSON BORO,54 ,"26,109,515 ","483,510 "
15,ENGLEWOOD CITY,214 ,"116,751,970 ","545,570 "
16,ENGLEWOOD CLIFFS BORO,60 ,"82,441,376 ","1,374,023 "
17,FAIRLAWN BORO,250 ,"106,244,400 ","424,978 "
18,FAIRVIEW BORO,74 ,"29,037,700 ","392,401 "
19,FORT LEE BORO,335 ,"185,963,252 ","555,114 "
20,FRANKLIN LAKES BORO,112 ,"123,668,193 ","1,104,180 "
21,GARFIELD CITY,154 ,"52,905,250 ","343,541 "
22,GLEN ROCK BORO,104 ,"66,691,449 ","641,264 "
23,HACKENSACK CITY,118 ,"30,455,200 ","258,095 "
24,HARRINGTON PARK BORO,62 ,"38,535,575 ","621,542 "
25,HASBROUCK HGHTS BORO,38 ,"18,231,501 ","479,776 "
26,HAWORTH BORO,35 ,"25,394,000 ","725,543 "
27,HILLSDALE BORO,96 ,"50,168,744 ","522,591 "
28,HOHOKUS BORO,37 ,"30,689,749 ","829,453 "
29,LEONIA BORO,78 ,"39,036,300 ","500,465 "
30,LITTLE FERRY BORO,18 ,"5,939,500 ","329,972 "
31,LODI BORO,130 ,"46,282,466 ","356,019 "
32,LYNDHURST TWP,132 ,"50,313,538 ","381,163 "
33,MAHWAH TWP,353 ,"187,004,313 ","529,757 "
34,MAYWOOD BORO,80 ,"32,571,071 ","407,138 "
35,MIDLAND PARK BORO,77 ,"37,438,131 ","486,209 "
36,MONTVALE BORO,88 ,"53,238,220 ","604,980 "
37,MOONACHIE BORO,4 ,"1,407,000 ","351,750 "
38,NEW MILFORD BORO,114 ,"48,857,749 ","428,577 "
39,NORTH ARLINGTON BORO,28 ,"10,260,000 ","366,429 "
40,NORTHVALE BORO,47 ,"21,595,400 ","459,477 "
41,NORWOOD BORO,51 ,"32,919,000 ","645,471 "
42,OAKLAND BORO,153 ,"77,750,459 ","508,173 "
43,OLD TAPPAN BORO,71 ,"56,167,734 ","791,095 "
44,ORADELL BORO,34 ,"21,001,700 ","617,697 "
45,PALISADES PARK BORO,195 ,"112,869,250 ","578,817 "
46,PARAMUS BORO,201 ,"130,324,631 ","648,381 "
47,PARK RIDGE BORO,98 ,"54,756,400 ","558,739 "
48,RAMSEY BORO,214 ,"114,763,402 ","536,278 "
49,RIDGEFIELD BORO,98 ,"51,284,002 ","523,306 "
50,RIDGEFIELD PARK VILLAGE,89 ,"30,760,399 ","345,622 "
51,RIDGEWOOD VILLAGE,305 ,"256,981,525 ","842,562 "
52,RIVEREDGE BORO,107 ,"54,035,226 ","505,002 "
53,RIVERVALE TWP,106 ,"61,252,057 ","577,850 "
54,ROCHELLE PARK TWP,63 ,"23,570,500 ","374,135 "
55,ROCKLEIGH BORO,2 ,"4,085,000 ","2,042,500 "
56,RUTHERFORD BORO,151 ,"68,830,125 ","455,829 "
57,SADDLE BROOK TWP,39 ,"14,879,515 ","381,526 "
58,SADDLE RIVER BORO,17 ,"22,359,495 ","1,315,264 "
59,SO HACKENSACK TWP,3 ,"1,360,000 ","453,333 "
60,TEANECK TWP,353 ,"153,295,545 ","434,265 "
61,TENAFLY BORO,178 ,"164,687,632 ","925,211 "
62,TETERBORO BORO,0 ,0 ,0 
63,UPPER SADDLE RIV BORO,88 ,"80,748,481 ","917,596 "
64,WALDWICK BORO,91 ,"39,116,120 ","429,847 "
65,WALLINGTON BORO,56 ,"22,166,249 ","395,826 "
66,WASHINGTON TWP,110 ,"57,073,894 ","518,854 "
67,WESTWOOD BORO,25 ,"11,691,250 ","467,650 "
68,WOODCLIFF LAKE BORO,18 ,"14,337,977 ","796,554 "
