,City,Lat,Lon,# of Sales,Avg Sale Price
101,ABSECON CITY,39.4285,-74.4957,113,"$189,602 "
102,ATLANTIC CITY CITY,39.3643,-74.4229,226,"$143,915 "
103,BRIGANTINE CITY,40.912798,-74.41516,418,"$337,710 "
104,BUENA BORO,40.912798,-74.41516,30,"$162,652 "
105,BUENA VISTA TWP,40.912798,-74.41516,47,"$182,985 "
106,CORBIN CITY CITY,40.879699,-74.14263,4,"$311,475 "
107,EGG HARBOR CITY,40.830733,-73.97334,29,"$131,481 "
108,EGG HARBOR TWP,40.830733,-73.97334,487,"$227,483 "
109,ESTELL MANOR CITY,40.827499,-74.28091,16,"$220,595 "
110,FOLSOM BORO,40.641852,-74.38533,16,"$212,919 "
111,GALLOWAY TWP,40.849879,-73.97501,438,"$187,982 "
112,HAMILTON TWP,40.80495,-74.2047,284,"$175,294 "
113,HAMMONTON TOWN,40.80495,-74.2047,115,"$232,940 "
114,LINWOOD CITY,41.007389,-74.04247,89,"$264,989 "
115,LONGPORT BORO,40.788599,-74.78295,57,"$1,276,881 "
116,MARGATE CITY CITY,40.502477,-74.650023,272,"$591,374 "
117,MULLICA TWP,40.389428,-74.54329,13,"$210,000 "
118,NORTHFIELD CITY,40.51057,-74.72472,112,"$204,642 "
119,PLEASANTVILLE CITY,40.583035,-74.96224,134,"$110,355 "
120,PORT REPUBLIC CITY,40.583035,-74.96224,10,"$263,250 "
121,SOMERS POINT CITY,40.430006,-74.417344,147,"$229,952 "
122,VENTNOR CITY,40.500254,-74.4257,153,"$338,424 "
123,WEYMOUTH TWP,40.500254,-74.4257,11,"$203,065 "
201,ALLENDALE BORO,41.0415,-74.129,64,"$673,469 "
202,ALPINE BORO,40.9559,-73.9312,9,"$1,997,111 "
203,BERGENFIELD BORO,40.666552,-74.11768,221,"$392,001 "
204,BOGOTA BORO,40.803,-74.18895,56,"$349,426 "
205,CARLSTADT BORO,40.848999,-74.27917,13,"$351,183 "
206,CLIFFSIDE PARK BORO,40.82154,-73.98949,230,"$477,333 "
207,CLOSTER BORO,40.879699,-74.14263,18,"$753,810 "
208,CRESSKILL BORO,40.656302,-74.30371,47,"$808,596 "
209,DEMAREST BORO,40.656302,-74.30371,56,"$1,013,502 "
210,DUMONT BORO,40.656302,-74.30371,159,"$403,472 "
211,ELMWOOD PARK BORO,40.830733,-73.97334,91,"$360,925 "
212,E RUTHERFORD BORO,40.656302,-74.30371,21,"$386,929 "
213,EDGEWATER BORO,40.830733,-73.97334,175,"$638,329 "
