Rank,School,Address,City,Zip,Latitude,Longitude,EduScore
1,Academy For Allied Health Sciences,1776 Raritan Road,Scotch Plains,7076,40.637152,-74.37493,500
1,Academy For Information Technology,1776 Raritan Road,Scotch Plains,7076,40.637152,-74.37493,500
1,Academy for Mathematics Science and Engineering,520 West Main Street,Rockaway,7866,40.926798,-74.50624,500
1,Academy For Performing Arts,1776 Raritan Road,Scotch Plains,7076,40.637152,-74.37493,500
1,Bergen County Academies,200 Hackensack Avenue,Hackensack,7601,40.888678000000006,-74.0488,500
1,Biotechnology High School,5000 Kozloski Road,Freehold,7728,40.241036,-74.27629,500
1,Dr Ronald McNair High School,123 Coles Street,Jersey City,7302,40.695552,-74.22856,500
1,Infinity Institute,193 Old Bergen Road,Jersey City,7305,40.695552,-74.22856,500
1,Marine Academy Of Science And Technology,305 Mast Way,Highlands,7732,40.404474,-73.9904,500
1,Marine Academy of Technology and Environmental Science,195 Cedar Bridge Road,Manahawkin,8050,39.707575,-74.25933,500
1,Middlesex County Vocational Academy Allied Health & Biomedical Science,1 Convery Boulevard,Woodbridge,7095,40.557103999999995,-74.28316,500
1,Middlesex County Vocational Academy Math Science &Engineering Techn,100 Technology Drive,Edison,8837,40.595552000000005,-74.55174,500
1,Monmouth County Academy of Allied Health and Science,2325 Heck Avenue,Neptune,7753,40.208945,-74.05261,500
1,Performing Arts Academy of the Ocean County Vocational Technical,Route 547,Lakehurst,8733,40.017117,-74.30490999999999,500
1,Union County Magnet High School,1776 Raritan Road,Scotch Plains,7076,40.637152,-74.37493,500
1,Union County Technical,1776 Raritan Rd,Scotch Plains,7076,40.637152,-74.37493,500
17,Bergen County Technical High School - Teterboro,504 Route 46 West,Teterboro,7608,40.853722999999995,-74.05986999999999,479
18,Morris County School of Technology,400 East Main Street,Denville,7834,40.886148999999996,-74.48704000000001,478
19,Science Park High School,260 Norfolk Street,Newark,7102,40.736101,-74.22509000000001,477
20,Elizabeth High School - Frank J Cicarell Academy,40 Morrell Street,Elizabeth,7202,40.669502,-74.19889,476
21,Communications High School,1740 New Bedford Road,Wall,7719,40.415902,-74.08689,474
22,Chatham High School,255 Lafayette Avenue,Chatham,7928,40.7332,-74.39735999999999,473
23,High Technology High School,765 Newman Springs Road,Lincroft,7738,40.337374,-74.12059,472
24,Ridge High School,268 South Finley Avenue,Basking Ridge,7920,40.6789,-74.57039,470
25,Atlantic County Institute of Technology,5080 Atlantic Avenue,Mays Landing,8330,39.478771,-74.7581,469
25,McVs Assunpink Center,1085 Old Trenton Road,Trenton,8690,40.003861,-74.61775,469
27,Montgomery High School,1016 Route 601,Skillman,8558,40.410154999999996,-74.70725999999999,467
28,Haddonfield Memorial High School,401 Kings Highway East,Haddonfield,8033,39.895213,-75.04019,465
29,West Morris Mendham High School,65 East Main Street,Mendham,7945,40.782767,-74.59529,464
30,Cape May County Technical High SChool,188 Crest Haven Rd,Cape May Court House,8210,39.081754,-74.83658,463
31,High Technical High School,1 High Tech Way,Secaucus,7094,40.7885,-74.06,461
32,Millburn High School,462 Millburn Ave,Millburn,7041,40.724168,-74.29913,460
33,Cherry Hill High School East,1750 Kresson Rd.,Cherry Hill,8003,39.932279,-75.02266,459
34,West Morris Central High School,259 Bartley Road,Chester,7930,40.786549,-74.68799,458
35,Mahwah High School,50 Ridge Road,Mahwah,7430,41.077102000000004,-74.16147,456
36,Ramapo High School,331 George Street,Franklin Lakes,7417,41.010433,-74.20846999999999,455
37,Ridgewood High School,627 East Ridgewood Ave,Ridgewood,7451,40.983996999999995,-74.11438000000001,454
38,Tenafly High School,19 Columbus Drive,Tenafly,7670,40.921690000000005,-73.96481999999999,452
39,West Windsor-Plainsboro High School South,346 Clarksville Road,West Windsor,8550,40.292358,-74.60902,451
40,West Essex High School,65 West Greenbrook Rd,North Caldwell,7006,40.848999,-74.27917,450
41,Pascack Hills High School,225 West Grand Avenue,Montvale,7645,41.048997,-74.04052,449
42,Technology High School,223 Broadway,Newark,7102,40.736101,-74.22509000000001,447
43,Manalapan High School,20 Church Lane,Englishtown,7726,40.294244,-74.34213000000001,446
44,Northern Valley Regional High School at Old Tappan,140 Central Avenue,Old Tappan,7675,40.99904,-74.03291,445
45,New Providence High School,35 Pioneer Dr,New Providence,7974,40.698268,-74.40225,443
46,Northern Valley Regional High School At Demarest,150 Knickerbocker Road,Demarest,7627,40.955603,-73.96044,442
47,North Star Academy Charter School,10 Washington Place,Newark,7102,40.736101,-74.22509000000001,441
48,Holmdel High School,36 Crawfords Corner Road,Holmdel,7733,40.384832,-74.17194,440
49,Livingston High School,30 Robert Harp Drive,Livingston,7039,40.788733,-74.32134,438
50,Madison High School,170 Ridgedale Avenue,Madison,7940,40.75875,-74.41609,437
51,Princeton High School,151 Moore Street,Princeton,8540,40.357439,-74.64922,436
52,Robbinsville High School,155 Robbinsville Edinburg Rd,Robbinsville,8691,40.003861,-74.61775,434
53,West Windsor-Plainsboro High School North,90 Grovers Mill Road,Plainsboro,8536,40.333709999999996,-74.58511999999999,433
54,Sparta High School,70 West Mountain Road,Sparta,7871,41.035384,-74.63557,432
55,Mountain Lakes High School,96 Powerville Rd.,Mountain Lakes,7046,40.892021,-74.44022,431
56,Northern Highlands Regional High School,298 Hillside Ave,Allendale,7401,41.031504999999996,-74.13409,429
57,Pequannock Township High School,85 Sunset Road,Pompton Plains,7444,40.964548,-74.29813,428
58,Bridgewater-Raritan High School,600 Garretson Road,Bridgewater,8807,40.588097,-74.62253,427
59,Mount Olive High School,18 Corey Road,Flanders,7836,40.84405,-74.70134,425
60,Voorhees High School,256 County Route 513,Glen Gardner,8826,40.716332,-74.91405,424
61,Westfield Senior High School,550 Dorian Road,Westfield,7090,40.649202,-74.34567,423
62,Glen Ridge High School,200 Ridgewood Ave,Glen Ridge,7028,40.80495,-74.2047,422
63,Shore Regional High School,132 Monmouth Park Highway 36,West Long Branch,7764,40.289984999999994,-74.01671,420
64,Marlboro High School,95 North Main Street,Marlboro,7746,40.316876,-74.26111999999999,419
65,Glen Rock High School,400 Hamilton Avenue,Glen Rock,7452,40.961109,-74.12576,418
66,Hunterdon Central Regional High School District,84 Route 31,Flemington,8822,40.515645,-74.85319,416
67,Central Jersey College Prep Charter School,101 Mettlers Road,Somerset,8873,40.505253,-74.50723,415
68,Kinnelon High School,121 Kinnelon Road,Kinnelon,7405,40.99313,-74.35893,414
69,Howell High School,405 Squankum Yellowbrook Road,Farmingdale,7727,40.205366999999995,-74.15767,413
70,Cranford High School,201 West End Place,Cranford,7016,40.656302000000004,-74.30371,411
71,North Hunterdon High School,1445 State Route 31,Annandale,8801,40.624538,-74.89118,410
72,Governor Livingston High School,175 Watchung Boulevard,Berkeley Heights,7922,40.675112,-74.43459,409
73,Verona High School,151 Fairview Ave,Verona,7044,40.832449,-74.24226999999999,407
74,Randolph High School,511 Millbrook Avenue,Randolph,7869,40.847649,-74.5748,406
75,Cedar Grove High School,90 Rugby Road,Cedar Grove,7009,40.855854,-74.22898,405
76,Gloucester County Institute of Technology,1360 Tanyard Road,Sewell,8080,39.74953,-75.10637,404
77,Spotswood High School,105 Summerhill Road,Spotswood,8884,40.39159,-74.39329000000001,402
77,Summit High School,125 Kent Place Blvd,Summit,7901,40.714501,-74.3633,402
79,Metuchen High School,400 Grove Ave,Metuchen,8840,40.543354,-74.3587,400
80,Rumson-Fair Haven Regional High School,74 Ridge Road,Rumson,7760,40.369145,-73.99576,398
81,Ramsey High School,256 E Main Street,Ramsey,7446,41.058819,-74.14238,397
82,James Caldwell High School,265 Westville Ave,West Caldwell,7006,40.848999,-74.27917,396
83,Hopewell Valley Central High School,259 Pennington Titusville Rd,Pennington,8534,40.32315,-74.78364,395
84,Moorestown High School,350 Bridgeboro Road,Moorestown,8057,39.968962,-74.9489,393
85,Cresskill High School,1 Lincoln Dr,Cresskill,7626,40.942074,-73.96504,392
86,Freehold Township High School,281 Elton Adelphia Road,Freehold,7728,40.241036,-74.27629,391
87,Essex County West Caldwell Technical,620 Passaic Ave,West Caldwell,7006,40.848999,-74.27917,389
88,Shawnee High School,600 Tabernacle Road,Medford,8055,39.865272,-74.8185,388
89,Hillsborough High School,466 Raider Boulevard,Hillsborough,8844,40.502477,-74.650023,387
90,Westwood Junior/Senior High School,701 Ridgewood Road,Township Of Washington,7676,40.989508,-74.061302,386
91,Montville Township High School,100 Horseneck Road,Montville,7045,40.906152,-74.36742,384
92,Morris Knolls High School,50 Knoll Drive,Denville,7834,40.886148999999996,-74.48704000000001,383
93,Bernards High School,25 Olcott Avenue,Bernardsville,7924,40.723440000000004,-74.57753000000001,382
94,Seneca High School,110 Carranza Road,Tabernacle,8088,39.871699,-74.70528,380
95,Belvidere High School,809 Oxford Street,Belvidere,7823,40.82383,-75.04585,379
96,Fair Lawn High School,14 00 Berdan Avenue,Fair Lawn,7410,40.933943,-74.11671,378
97,Lakeland Regional High School,205 Conklintown Road,Wanaque,7465,41.052958000000004,-74.28236,377
98,Pascack Valley High School,200 Piermont Avenue,Hillsdale,7642,41.007389,-74.04247,375
99,Wayne Valley High School,551 Valley Road,Wayne,7470,40.943608000000005,-74.25004,374
100,Pompton Lakes High School,44 Lakeside Avenue,Pompton Lakes,7442,40.99948,-74.28806999999999,373
101,John P. Stevens High School,855 Grove Avenue,Edison,8820,40.516104,-74.39754,371
102,Wayne Hills High School,272 Berdan Avenue,Wayne,7470,40.943608000000005,-74.25004,370
103,Midland Park Junior/Senior High School,250 Prospect St,Midland Park,7432,40.993120000000005,-74.14286,369
104,Watchung Hills Regional High School,108 Stirling Rd.,Warren,7059,40.633652000000005,-74.5008,368
