,Rank,School,Type,Grades,Address,City,Zip,District,Is Charter,Is Magnet,Is Virtual,Is Title I,Phone,Full_Address,Latitude,Longitude
0,1,Academy For Information Technology,Public,12-Sep,1776 Raritan Road,Scotch Plains,7076,Union County Vocational-Technical School District,No,(n/a),No,No,(908) 889-8288,"1776 Raritan Road, Scotch Plains, NJ 07076",40.6180513,-74.3570355
1,2,Union County Magnet High School,Public,12-Sep,1776 Raritan Road,Scotch Plains,7076,Union County Vocational-Technical School District,No,(n/a),No,No,(908) 889-8288,"1776 Raritan Road, Scotch Plains, NJ 07076",40.6180513,-74.3570355
2,3,Middlesex County Vocational Academy Math Science &Engineering Techn,Public,12-Sep,100 Technology Drive,Edison,8837,Middlesex County Vocational and Technical School District,No,(n/a),No,No,(732) 452-2600,"100 Technology Drive, Edison, NJ 08837",40.5045558,-74.36955019999999
3,4,Academy For Allied Health Sciences,Public,12-Sep,1776 Raritan Road,Scotch Plains,7076,Union County Vocational-Technical School District,No,(n/a),No,Yes,(908) 889-8288,"1776 Raritan Road, Scotch Plains, NJ 07076",40.6180513,-74.3570355
4,5,Communications High School,Public,12-Sep,1740 New Bedford Road,Wall,7719,Monmouth County Vocational School District,No,(n/a),No,No,(732) 681-1010,"1740 New Bedford Road, Wall, NJ 07719",40.16990089999999,-74.0620491
5,6,Monmouth County Academy of Allied Health and Science,Public,12-Sep,2325 Heck Avenue,Neptune,7753,Monmouth County Vocational School District,No,(n/a),No,No,(732) 775-0058,"2325 Heck Avenue, Neptune, NJ 07753",40.21468180000001,-74.0378187
6,7,Bergen County Academies,Public,12-Sep,200 Hackensack Avenue,Hackensack,7601,Bergen County Vocational Technical School District,No,(n/a),No,No,(201) 343-6000,"200 Hackensack Avenue, Hackensack, NJ 07601",40.9017414,-74.0335932
7,8,Biotechnology High School,Public,12-Sep,5000 Kozloski Road,Freehold,7728,Monmouth County Vocational School District,No,(n/a),No,No,(732) 431-7942,"5000 Kozloski Road, Freehold, NJ 07728",40.2611895,-74.2510375
8,9,Hunterdon County Academies,Public,12-Sep,1445 State Route 31,Annandale,8801,Hunterdon County Vocational School District,No,(n/a),No,No,(908) 788-1119,"1445 State Route 31, Annandale, NJ 08801",40.6280379,-74.8834779
9,10,Union County Technical,Public,12-Sep,1776 Raritan Rd,Scotch Plains,7076,Union County Vocational-Technical School District,No,(n/a),No,Yes,(908) 889-8288,"1776 Raritan Rd, Scotch Plains, NJ 07076",40.6180513,-74.3570355
10,11,High Technology High School,Public,12-Sep,765 Newman Springs Road,Lincroft,7738,Monmouth County Vocational School District,No,(n/a),No,No,(732) 842-8444,"765 Newman Springs Road, Lincroft, NJ 07738",40.3263561,-74.1311317
11,12,Academy for Mathematics Science and Engineering,Public,12-Sep,520 West Main Street,Rockaway,7866,Morris County Vocational School District,No,(n/a),No,No,(973) 664-2301,"520 West Main Street, Rockaway, NJ 07866",40.890836,-74.52918
12,13,Academy for Biotechnology,Public,12-Sep,96 Powerville Road,Mountain Lakes,7046,Morris County Vocational School District,No,(n/a),No,No,(973) 334-8480,"96 Powerville Road, Mountain Lakes, NJ 07046",40.8952526,-74.42718980000001
13,14,Bergen County Technical High School - Teterboro,Public,12-Sep,504 Route 46 West,Teterboro,7608,Bergen County Vocational Technical School District,No,(n/a),No,Yes,(201) 343-6000,"504 Route 46 West, Teterboro, NJ 07608",40.8604412,-74.0547977
14,15,Morris County School of Technology,Public,12-Sep,400 East Main Street,Denville,7834,Morris County Vocational School District,No,(n/a),No,No,(973) 627-4600,"400 East Main Street, Denville, NJ 07834",40.8785707,-74.4791225
15,16,Dr Ronald McNair High School,Public,12-Sep,123 Coles Street,Jersey City,7302,Jersey City Public Schools,No,(n/a),No,Yes,(201) 418-7617,"123 Coles Street, Jersey City, NJ 07302",40.72683019999999,-74.0474017
16,17,Middlesex County Vocational Academy Allied Health & Biomedical Science,Public,12-Aug,1 Convery Boulevard,Woodbridge,7095,Middlesex County Vocational and Technical School District,No,(n/a),No,No,(732) 634-5858,"1 Convery Boulevard, Woodbridge, NJ 07095",40.5406408,-74.278351
17,18,Marine Academy Of Science And Technology,Public,12-Sep,305 Mast Way,Highlands,7732,Monmouth County Vocational School District,No,(n/a),No,No,(732) 291-0995,"305 Mast Way, Highlands, NJ 07732",40.4602808,-73.9996845
18,19,Academy for Environmental Science,Public,12-Sep,1010 Weldon Road,Oak Ridge,7438,Morris County Vocational School District,No,(n/a),No,No,(973) 697-3535,"1010 Weldon Road, Oak Ridge, NJ 07438",41.0165134,-74.5535337
