Municipal ID,Rank,Zip,Latitude,Longitude,EduScore
101,9,8106,39.8844852,-75.0757598,261
102,8,8401,39.366993,-74.477057,75
104,32,8310,39.5363866,-74.9187764,133
107,85,8215,39.5517617,-74.6280383,205
108,86,8234,39.3947754,-74.6285146,301
111,112,8205,39.4807236,-74.5161163,231
112,196.5,8330,39.4485408,-74.68604905,197
113,130,8037,39.6565046,-74.8073024,293
114,176,8221,39.3467747,-74.5774348,355
117,221,8062,39.7508447,-75.2064892,428
119,309,8232,39.406362,-74.52615,5
121,345,8244,39.3273841,-74.6000558,81
201,2,7401,41.0357203,-74.1437679,478
203,16,7621,40.9252031,-74.0074272,318
204,22,7603,40.8776442,-74.0233171,281
206,58,7010,40.8215275,-73.9866968,202
208,65,7626,40.9482849,-73.9640858,438
209,67,7627,40.9625641,-73.9740798,493
210,72,7628,40.9436379,-73.99797,421
212,81,7073,40.8322214,-74.0929792,154
214,95,7630,40.9726428,-74.0175265,323
215,96,7631,40.9073806,-73.9832784,211
217,101,7410,40.9325867,-74.1245849,457
219,105,7024,40.858348,-73.964789,337
220,106,7417,40.9981332,-74.1926112,462
221,113.5,7026,40.87840835,-74.10552865,254
222,118,7452,40.955201,-74.1226189,413
223,120.5,7601,38.6116872,-84.9412241,365
225,132,7604,40.8667137,-74.0738908,360
227,140,7642,41.0090971,-74.0290024,444
229,172,7605,40.870303,-73.9889034,397
231,181,7644,40.8866422,-74.0870138,315
232,183,7071,40.809043,-74.1272075,259
233,185,7430,41.0921068,-74.1581842,449
235,206,7432,41.0001462,-74.1365664,410
236,212,7645,41.0495456,-74.0495917,489
238,226,7646,40.941883,-74.021696,358
239,250,7031,40.7890856,-74.1323458,159
242,259,7436,41.022626,-74.23127,452
243,261,7675,41.009123,-73.97879,484
244,262,7649,40.9443083,-74.0363466,479
245,264,7650,40.8387582,-73.9938533,171
246,266.5,7652,40.94000045,-74.07758795,421
247,268,7656,41.0346734,-74.0427237,445
248,316,7446,41.0568526,-74.1344231,432
249,318,7657,40.8309951,-73.9998064,306
250,319,7660,40.8587951,-74.0139041,225
251,320,7451,40.977754,-74.105593,463
256,329,7070,40.8288417,-74.1083965,328
257,330,7663,40.9049018,-74.0908684,311
260,361,7666,40.8911578,-74.0083768,283
261,362,7670,40.9332115,-73.9662898,465
262,363,7608,40.8604412,-74.0547977,500
264,380,7463,41.0117019,-74.1334468,354
265,383,7057,40.8549136,-74.1068364,162
267,368,7676,40.9796629,-74.0611312,378
269,407,7075,40.8481199,-74.0802328,216
303,24,8505,40.1543033,-74.6840267,161
305,34,8016,40.075962,-74.82682447,159
308,55,8077,40.00753,-74.9963978,415
310,66,8075,40.0132905,-74.9440595,233
313,194,8053,39.8738383,-74.8994508,312
318,63,8022,40.0882,-74.6855999,299
319,191,8052,39.9477723,-75.006075,137
320,199,8055,39.89028093,-74.81086107,281
322,214,8057,39.9857575,-74.9446082,470
323,217,8060,40.0025146,-74.7829875,348
324,218,8054,39.9718969,-74.8990455,0
327,265,8065,36.8820451,-94.8783414,201
328,288,8068,39.9928022,-74.6858262,112
330,321,8075,40.0340813,-74.9553087,70
335,360,8088,39.8573385,-74.717795,282
337,400,8060,40.0181596,-74.8232872,156
338,406,8046,40.0170627,-74.8859271,20
408,40.5,8103.625,39.93504249,-75.09842724,59
409,52.5,8018.5,39.90315565,-74.99210325,305
412,60,8108,39.91276,-75.077313,243
414,78.66666667,8041,39.81613067,-75.05930613,231
416,402,8108,39.9042379,-75.0565516,275
417,124,8033,39.9019489,-75.0264294,474
418,123,8035,39.88413,-75.0502024,228
422,175,8021,39.820611,-74.9755382,45
427,292.5,8109.5,39.9630844,-75.0465416,83
428,299,8021,39.7778281,-74.9659929,136
430,328,8078,39.8493802,-75.0622801,215
431,344,8083,39.8360706,-75.0258842,96
434,379,8043,39.849156,-74.966819,329
435,7,8004,39.7454119,-74.9070824,166
436,342,8081,39.765079,-74.975851,198
502,45,8204,38.9770839,-74.9039934,257
506,46.5,8210,39.08998245,-74.80888595,122
508,260,8226,39.2798001,-74.5673819,294
514,404,8260,38.9857374,-74.8197327,144
601,28.5,8302,39.4559436,-75.234232,73
610,208,8332,39.4029937,-75.0325475,57
614,377.5,8360,39.4563818,-75.0138869,265
701,14,7109,40.8029973,-74.161613,179
702,21,7003,40.7994581,-74.1974797,223
704,50,7009,40.8513707,-74.2233547,270
705,79,7017,40.77232447,-74.20728033,195
708,117,7028,40.7993268,-74.2064682,485
709,146,7111,40.7297385,-74.234324,28
710,180,7039,40.7839726,-74.3209948,469
711,192,7040,40.7354856,-74.2663475,352
712,207,7041,40.7204896,-74.3156957,473
713,211,7042,40.8232208,-74.2128884,368
714,237.5,7104.4,40.733819,-74.18749506,158
715,253,7006,40.8745177,-74.2692037,467
716,255,7110,40.8172969,-74.1601452,340
717,263,7050,40.7658026,-74.2395074,117
720,376,7044,40.8412784,-74.2480376,371
721,392.5,7006,40.84761005,-74.29447475,281
722,398,7052,40.8066775,-74.2602068,155
801,57,8312,39.6603501,-75.0838539,95
802,70,8096,39.81183,-75.110807,232
805,107,8322,39.6083488,-75.0653126,197
806,115,8028,39.715868,-75.121398,152
810,340.5,8080,39.7652114,-75.10009705,266
811,307.5,8462.5,40.0050985,-74.7232202,337
814,287,8066,39.8368692,-75.2448026,18
815,302,8071,39.7406336,-75.1270824,250
820,394,8093,39.8548757,-75.1619512,265
822,410,8096,39.8397915,-75.1536716,100
823,411,8096,39.8174389,-75.1406849,146
824,414,8085,39.761012,-75.2907417,402
901,12,7002,40.6717314,-74.1215821,256
904,131,7029,40.7497787,-74.1476681,113
905,142.5,7030,40.75295855,-73.99926925,125
906,155.5,7304.583333,40.72074393,-74.06814788,196
907,163,7032,40.7618388,-74.1472093,87
908,251,7047,40.8015384,-74.0139459,86
909,338.5,7094,40.78224025,-74.066869,323
910,374,7087,40.7703761,-74.0367623,289
911,391,7086,40.7738908,-74.0179416,203
912,397,7093,40.7834587,-74.0126605,122
1006,4.5,8801,40.6280379,-74.8834779,463
1009,104,8822,40.5171201,-74.851901,455
1011,111,8825,40.5626984,-75.0057424,385
1012,116,8826,40.6957702,-74.8868766,414
1017,169,8530,40.386799,-74.892948,326
1102,99.5,8618,40.2534362,-74.7842671,70
1103,128,8639.666667,40.21501233,-74.69815603,148
1104,138,8520,40.2608493,-74.5312858,246
1107,171,8648,40.2648678,-74.7297736,276
