Rank,School,Address,City,Municipal ID,Zip,District,Full_Address,Latitude,Longitude,EduScore
1,Matawan Regional High School,450 Atlantic Avenue,Aberdeen,1301,7747,Matawan-Aberdeen Regional School District,"450 Atlantic Avenue, Aberdeen, NJ 07747",40.4112981,-74.2224919,391
2,Northern Highlands Regional High School,298 Hillside Ave,Allendale,201,7401,Northern Highlands Regional High School District,"298 Hillside Ave, Allendale, NJ 07401",41.0357203,-74.1437679,463
3,Allentown High School,27 High Street,Allentown,1303,8501,Upper Freehold Regional School District,"27 High Street, Allentown, NJ 08501",40.1732018,-74.5868772,380
4,Hunterdon County Academies,1445 State Route 31,Annandale,1006,8801,Hunterdon County Vocational School District,"1445 State Route 31, Annandale, NJ 08801",40.6280379,-74.8834779,490
5,North Hunterdon High School,1445 State Route 31,Annandale,1006,8801,North Hunterdon-Voorhees Regional High School District,"1445 State Route 31, Annandale, NJ 08801",40.6280379,-74.8834779,407
6,Asbury Park High School,1001 Sunset Avenue,Asbury Park,1304,7712,Asbury Park School District,"1001 Sunset Avenue, Asbury Park, NJ 07712",40.2284978,-74.0131736,99
7,Winslow Township High School,10 Cooper Folly Road,Atco,435,8004,Winslow Township School District,"10 Cooper Folly Road, Atco, NJ 08004",39.7454119,-74.9070824,162
8,Atlantic City High School,1400 N Albany Avenue,Atlantic City,102,8401,Atlantic City School District,"1400 N Albany Avenue, Atlantic City, NJ 08401",39.366993,-74.477057,74
9,Audubon Junior/Senior High School,350 Edgewood Avenue,Audubon,101,8106,Audubon Public School Disrict,"350 Edgewood Avenue, Audubon, NJ 08106",39.8844852,-75.0757598,254
10,Barnegat High School,180 Bengal Blvd,Barnegat,1501,8005,Barnegat Township School District,"180 Bengal Blvd, Barnegat, NJ 08005",39.7729881,-74.2346316,184
11,Ridge High School,268 South Finley Avenue,Basking Ridge,1802,7920,Bernards Township School District,"268 South Finley Avenue, Basking Ridge, NJ 07920",40.6943602,-74.5468722,460
12,Bayonne High School,669 Avenue A,Bayonne,901,7002,Bayonne School District,"669 Avenue A, Bayonne, NJ 07002",40.6717314,-74.1215821,249
13,Central Regional High School,509 Forest Hills Parkway,Bayville,1505,8721,Central Regional School District,"509 Forest Hills Parkway, Bayville, NJ 08721",39.8894224,-74.2105845,178
14,Belleville High School,100 Passaic Ave,Belleville,701,7109,Belleville Public Schools,"100 Passaic Ave, Belleville, NJ 07109",40.8029973,-74.161613,175
15,Belvidere High School,809 Oxford Street,Belvidere,2103,7823,Belvidere School District,"809 Oxford Street, Belvidere, NJ 07823",40.8249316,-75.0666626,228
16,Bergenfield High School,80 S Prospect Ave,Bergenfield,203,7621,Bergenfield Borough School District,"80 S Prospect Ave, Bergenfield, NJ 07621",40.9252031,-74.0074272,309
17,Governor Livingston High School,175 Watchung Boulevard,Berkeley Heights,2001,7922,Berkeley Heights School District,"175 Watchung Boulevard, Berkeley Heights, NJ 07922",40.6871612,-74.3868788,371
18,Bernards High School,25 Olcott Avenue,Bernardsville,1803,7924,Somerset Hills Regional School District,"25 Olcott Avenue, Bernardsville, NJ 07924",40.7213623,-74.5671292,338
19,Highland Regional High School,450 Erial Road,Blackwood,414,8012,Black Horse Pike Regional School District,"450 Erial Road, Blackwood, NJ 08012",39.801545,-75.049102,199
20,North Warren Regional School,10 Noe Rd,Blairstown,2104,7825,North Warren Regional School District,"10 Noe Rd, Blairstown, NJ 07825",40.981884,-74.9907997,256
21,Bloomfield High School,160 Broad Street,Bloomfield,702,7003,Bloomfield Township School District,"160 Broad Street, Bloomfield, NJ 07003",40.7994581,-74.1974797,217
22,Bogota Junior/Senior High School,2 Henry C Luthin Place,Bogota,204,7603,Bogota Public School District,"2 Henry C Luthin Place, Bogota, NJ 07603",40.8776442,-74.0233171,273
23,Boonton High School,306 Lathrop Avenue,Boonton,1401,7005,Boonton Town School District,"306 Lathrop Avenue, Boonton, NJ 07005",40.903221,-74.403031,335
24,Bordentown Regional High School,318 Ward Ave,Bordentown,303,8505,Bordentown Regional School District,"318 Ward Ave, Bordentown, NJ 08505",40.1543033,-74.6840267,157
25,Bound Brook High School,111 West Union Avenue,Bound Brook,1804,8805,Bound Brook School District,"111 West Union Avenue, Bound Brook, NJ 08805",40.5676296,-74.5363497,76
26,Brick Township High School,346 Chambers Bridge Rd,Brick,1507,8723,Brick Township Public School District,"346 Chambers Bridge Rd, Brick, NJ 08723",40.073183,-74.1531728,301
27,Brick Township Memorial High School,2001 Lanes Mill Rd,Brick,1507,8724,Brick Township Public School District,"2001 Lanes Mill Rd, Brick, NJ 08724",40.104411,-74.1291093,248
28,Cumberland Regional High School,90 Silver Lake Road,Bridgeton,601,8302,Cumberland Regional School District,"90 Silver Lake Road, Bridgeton, NJ 08302",39.474169,-75.223569,117
29,Bridgeton High School,111 N West Avenue,Bridgeton,601,8302,Bridgeton City School District,"111 N West Avenue, Bridgeton, NJ 08302",39.4377182,-75.244895,28
