,Zip Code,City,County,Latitude,Longitude,Walkability
0,7001,Avenel,Middlesex,40.578996000000004,-74.27986999999999,63
1,7002,Bayonne,Hudson,40.666552,-74.11768000000002,93
2,7003,Bloomfield,Essex,40.803000000000004,-74.18895,59
3,7004,Fairfield,Essex,40.879049,-74.29378,47
4,7005,Boonton,Morris,40.912797999999995,-74.41516,50
5,7006,Caldwell,Essex,40.848999,-74.27917,49
6,7007,Caldwell,Essex,40.79185,-74.24524100000001,19
7,7008,Carteret,Middlesex,40.582504,-74.22997,54
8,7009,Cedar Grove,Essex,40.855854,-74.22898,54
9,7010,Cliffside Park,Bergen,40.82154,-73.98949,88
10,7011,Clifton,Passaic,40.879699,-74.14263000000001,87
11,7012,Clifton,Passaic,40.847922,-74.1579,78
12,7013,Clifton,Passaic,40.868699,-74.17102,44
13,7014,Clifton,Passaic,40.834049,-74.13669,59
14,7015,Clifton,Passaic,41.011428,-74.304793,5
15,7016,Cranford,Union,40.656302000000004,-74.30371,82
16,7017,East Orange,Essex,40.770933,-74.20589,58
17,7018,East Orange,Essex,40.75555,-74.21897,77
18,7019,East Orange,Essex,40.79185,-74.24524100000001,19
19,7020,Edgewater,Bergen,40.830733,-73.97334000000001,59
20,7021,Essex Fells,Essex,40.827498999999996,-74.28090999999999,19
21,7022,Fairview,Bergen,40.816736999999996,-74.00081999999999,83
22,7023,Fanwood,Union,40.641852,-74.38533000000001,69
23,7024,Fort Lee,Bergen,40.849879,-73.97501,92
24,7026,Garfield,Bergen,40.879858,-74.10807,73
25,7027,Garwood,Union,40.650802,-74.32351,86
26,7028,Glen Ridge,Essex,40.80495,-74.2047,70
27,7029,Harrison,Hudson,40.745951,-74.15509,83
28,7030,Hoboken,Hudson,40.744851000000004,-74.03294,99
29,7031,North Arlington,Bergen,40.791895000000004,-74.13254,67
30,7032,Kearny,Hudson,40.763051000000004,-74.13718,44
31,7033,Kenilworth,Union,40.674652,-74.2908,79
32,7034,Lake Hiawatha,Morris,40.881149,-74.38112,71
33,7035,Lincoln Park,Morris,40.923233,-74.29375999999999,17
34,7036,Linden,Union,40.633953000000005,-74.25339,71
35,7039,Livingston,Essex,40.788733,-74.32134,44
36,7040,Maplewood,Essex,40.728901,-74.26821,60
37,7041,Millburn,Essex,40.724168,-74.29913,83
38,7042,Montclair,Essex,40.81315,-74.21576,89
39,7043,Montclair,Essex,40.844198999999996,-74.20218,76
40,7044,Verona,Essex,40.832449,-74.24226999999999,77
41,7045,Montville,Morris,40.906152,-74.36742,9
42,7046,Mountain Lakes,Morris,40.892021,-74.44022,13
43,7047,North Bergen,Hudson,40.7946,-74.01963,86
44,7050,Orange,Essex,40.7683,-74.23603,88
45,7051,Orange,Essex,40.79185,-74.24524100000001,19
46,7052,West Orange,Essex,40.78865,-74.25541,52
47,7054,Parsippany,Morris,40.860149,-74.4171,27
48,7055,Passaic,Passaic,40.857384,-74.12899,95
49,7057,Wallington,Bergen,40.852931,-74.10925,80
50,7058,Pine Brook,Morris,40.871299,-74.34331,7
51,7059,Warren,Somerset,40.633652000000005,-74.5008,18
52,7060,Plainfield,Union,40.620102,-74.42481,89
53,7061,Plainfield,Union,40.665651000000004,-74.29969200000001,35
54,7062,Plainfield,Union,40.631252,-74.40383,61
55,7063,Plainfield,Union,40.604252,-74.44612,44
56,7064,Port Reading,Middlesex,40.569503999999995,-74.24774000000001,26
