City,Municipality,Muni Code,"Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","Foreign born persons, percent, 2014-2018","Owner-occupied housing unit rate, 2014-2018","Median selected monthly owner costs -with a mortgage, 2014-2018","Median selected monthly owner costs -without a mortgage, 2014-2018","Median gross rent, 2014-2018","Persons per household, 2014-2018","Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","Households with a computer, percent, 2014-2018","High school graduate or higher, percent of persons age 25 years+, 2014-2018","Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018","With a disability, under age 65 years, percent, 2014-2018","In civilian labor force, female, percent of population age 16 years+, 2014-2018","Mean travel time to work (minutes), workers age 16 years+, 2014-2018","Median household income (in 2018 dollars), 2014-2018","Persons in poverty, percent","All firms, 2012","Population per square mile, 2010"
Absecon,Absecon,101.0,22.30%,51.40%,79.30%,8.90%,9.80%,83.50%,"$2,050 ",$905 ,"$1,356 ",2.63,13.80%,90.80%,90.90%,28.60%,7.80%,59.50%,23.0,"$73,560 ",6.60%,725,"1,558.70"
Atlantic City,Atlantic City,102.0,13.60%,49.10%,31.30%,35.50%,33.00%,26.70%,"$1,999 ",$953 ,$872 ,2.46,48.10%,74.30%,73.50%,16.40%,11.80%,55.20%,21.3,"$27,786 ",37.70%,"2,520","3,680.80"
Brigantine,Brigantine,103.0,28.40%,52.80%,91.60%,1.40%,8.80%,72.60%,"$2,259 ",$957 ,"$1,263 ",2.17,13.50%,91.00%,92.70%,34.70%,8.30%,55.10%,29.8,"$71,483 ",9.90%,941,"1,479.60"
Buena,Buena Borough,104.0,17.50%,50.10%,79.90%,9.80%,5.40%,83.80%,"$1,801 ",$718 ,"$1,320 ",2.9,11.80%,91.80%,84.40%,16.10%,9.20%,64.30%,30.9,"$63,376 ",13.10%,534,184.4
Egg Harbor City,Egg Harbor City,107.0,13.60%,53.20%,67.90%,8.50%,16.40%,86.80%,"$2,115 ",$817 ,"$1,001 ",2.99,30.70%,94.90%,88.90%,31.80%,8.10%,66.60%,22.3,"$78,772 ",10.00%,"3,546",650.5
Hammonton,Hammonton,113.0,18.30%,51.10%,82.10%,3.10%,10.50%,71.00%,"$2,066 ",$921 ,"$1,182 ",2.66,24.30%,87.50%,85.80%,25.20%,9.10%,59.00%,28.5,"$71,313 ",11.30%,"1,317",361.8
Linwood,Linwood,114.0,21.10%,52.80%,90.50%,1.50%,6.80%,86.10%,"$2,638 ","$1,228 ","$1,566 ",2.68,11.30%,92.50%,95.90%,49.80%,7.10%,59.40%,22.2,"$95,034 ",2.10%,"1,052","1,834.90"
Margate City,Margate City,116.0,39.00%,51.90%,93.60%,1.90%,6.60%,82.10%,"$2,613 ","$1,074 ","$1,279 ",1.99,8.70%,89.60%,95.30%,49.40%,6.20%,47.10%,26.8,"$79,375 ",6.30%,722,"4,490.50"
Northfield,Northfield,118.0,16.30%,54.80%,88.90%,1.70%,11.60%,90.90%,"$2,101 ",$965 ,"$1,703 ",2.89,19.70%,94.40%,92.20%,36.90%,6.80%,62.90%,21.2,"$78,191 ",8.70%,"1,471","2,533.50"
Pleasantville,Pleasantville,119.0,11.90%,52.60%,40.50%,42.90%,25.00%,48.20%,"$1,706 ",$839 ,"$1,172 ",2.97,44.60%,85.10%,76.90%,12.50%,10.40%,60.40%,20.8,"$40,614 ",21.30%,"1,058","3,556.20"
